	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
TSPAN6	249	962	1034	953	826	621
DPM1	142	642	651	982	583	352
SCYL3	64	231	308	305	223	182
C1orf112	62	92	71	60	99	120
FGR	14	20	47	175	530	48
CFH	299	2830	3909	3385	5873	2701
FUCA2	341	1308	1131	1792	1152	452
GCLC	585	4621	2039	1398	2249	1434
NFYA	243	851	854	788	607	499
STPG1	114	78	186	274	123	55
NIPAL3	285	449	532	377	237	185
LAS1L	635	1227	1482	2190	1450	518
ENPP4	0	100	84	73	84	72
SEMA3F	98	437	31	10	8	9
CFTR	0	2	0	0	0	0
ANKIB1	494	2166	1685	1599	1294	1393
CYP51A1	3462	33288	13007	9964	11445	7690
KRIT1	107	368	265	248	229	313
RAD52	84	252	127	193	182	84
MYH16	0	5	1	0	0	0
BAD	1509	2003	2525	1630	2380	1040
LAP3	308	1117	1038	1414	1280	680
CD99	20546	59361	81761	84336	50263	25090
HS3ST1	686	3975	4273	3288	1435	2408
AOC1	0	5	0	0	5	0
WNT16	0	13	30	9	8	2
HECW1	1	11	10	0	0	7
MAD1L1	647	870	775	798	896	433
LASP1	1964	4324	2341	5014	4157	2188
SNX11	322	659	767	629	477	319
TMEM176A	266	1253	626	381	622	363
M6PR	93	1001	884	768	801	779
KLHL13	31	83	117	100	117	109
CYP26B1	16	257	298	114	75	76
ICA1	104	69	263	142	117	58
DBNDD1	203	76	134	57	112	62
ALS2	187	601	511	949	658	454
CASP10	59	212	126	300	268	139
CFLAR	1462	7413	3966	7539	4325	2164
TFPI	190	4006	2209	4988	2811	1208
NDUFAF7	149	272	239	257	378	166
RBM5	858	2799	2566	2707	2588	1270
MTMR7	0	31	25	30	55	43
SLC7A2	131	509	223	196	203	232
ARF5	3536	3108	7270	5253	5773	2256
SARM1	1575	4611	2279	2080	1946	1300
POLDIP2	2980	6039	7396	8068	4896	2969
PLXND1	3568	9144	6580	2868	4661	3501
AK2	1910	6080	4862	4706	4602	1996
CD38	0	12	7	14	47	17
FKBP4	2239	4405	5668	7015	4500	3108
KDM1A	933	2209	2700	2030	2613	1694
RBM6	3526	3359	4304	2541	2331	1092
CAMKK1	236	771	382	700	288	78
RECQL	174	786	621	638	673	664
VPS50	100	288	241	268	225	222
HSPB6	262	271	139	280	193	82
ARHGAP33	281	706	254	222	261	224
NDUFAB1	593	1120	1460	1888	1585	836
PDK4	25	501	85	165	141	87
SLC22A16	0	0	0	2	16	2
ZMYND10	21	27	21	11	0	0
ARX	13	0	0	10	8	0
SLC25A13	332	1081	1306	1779	1309	708
ST7	158	648	601	1786	841	217
CDC27	190	809	728	626	624	649
SLC4A1	0	0	0	119	531	0
HCCS	106	419	465	589	567	251
DVL2	494	1330	1298	876	636	582
PRSS22	0	0	3	0	0	0
UPF1	1063	4487	3266	2489	2040	1687
SKAP2	162	387	169	276	369	128
SLC25A5	1874	6690	8177	9636	6608	3608
MCUB	652	657	1442	1185	1071	695
POLR2J	1579	1529	2064	2635	2144	914
DHX33	1016	931	890	889	639	454
THSD7A	178	274	412	378	217	515
LIG3	500	1077	1016	948	909	487
RPAP3	140	410	377	473	499	319
ACSM3	2382	1934	3199	911	2931	3008
REXO5	696	324	557	117	486	193
CIAPIN1	418	894	1198	934	1212	579
SPPL2B	511	2954	2130	2249	1423	1016
FAM214B	679	1232	1326	1206	814	461
COPZ2	49	65	125	42	102	41
PRKAR2B	3518	11359	8651	13642	9876	7003
MSL3	252	387	817	618	444	371
CREBBP	668	2326	3637	3730	1406	1445
TSPOAP1	164	300	296	62	160	73
MPO	0	10	0	0	7	0
PON1	0	4	0	6	4	0
GCFC2	137	164	240	185	176	151
WDR54	567	1484	956	649	631	376
CROT	49	351	360	306	265	227
ABCB4	0	0	2	0	0	0
KMT2E	2497	2754	2168	2832	1675	1149
RHBDD2	1973	16815	10966	12440	6651	3271
SOX8	17	65	26	0	0	11
IBTK	330	1085	731	929	623	695
ZNF195	131	165	359	141	242	142
MYCBP2	863	1003	876	861	705	599
FBXL3	196	5487	539	604	775	665
ITGAL	16	8	9	80	171	12
PDK2	298	397	1018	446	437	258
ITGA3	222	466	877	314	625	358
ZFX	223	1032	296	897	371	610
LAMP2	422	3332	2436	3574	2602	1790
ITGA2B	8	6	13	36	86	4
ASB4	0	2	0	0	0	0
GDE1	1200	1313	1563	965	1006	583
REX1BD	1376	1419	1802	1137	1241	436
CRLF1	59	154	176	98	30	23
AC003665.1	313	271	326	178	209	146
TMEM98	597	1078	1108	1084	1200	715
YBX2	0	14	0	3	0	0
MAP3K14	178	721	93	338	356	140
CACNG3	0	2	2	0	25	8
TMEM132A	479	1924	1617	1380	771	575
AP2B1	5308	4973	4100	5651	5675	4101
ZNF263	912	1123	1114	588	497	323
CX3CL1	24	0	10	0	14	12
SPATA20	2752	3551	4150	3986	2998	905
CACNA1G	838	2241	1935	1071	893	709
TNFRSF12A	1547	5763	4668	9254	3901	1136
DLX6	15	0	3	0	5	0
MAP3K9	37	555	447	153	344	130
RALA	626	1251	1668	1211	1485	973
BAIAP2L1	291	723	519	739	275	166
KDM7A	199	999	441	455	367	428
ETV1	0	16	50	0	6	12
AGK	89	457	329	541	311	232
ALDH3B1	388	774	658	514	409	63
TTC22	0	0	0	27	4	1
PHTF2	76	261	216	274	210	230
CCL26	0	29	18	44	16	12
FARP2	853	1718	1529	1367	1106	1035
USH1C	0	4	0	0	0	0
GGCT	467	1019	1108	824	892	373
DBF4	35	144	136	64	67	68
TBXA2R	17	31	75	55	23	13
IFRD1	179	829	809	847	437	283
COX10	101	328	429	296	334	212
GTF2IRD1	419	1240	872	681	620	260
PAF1	2911	3716	4623	3325	2955	1353
VPS41	937	2379	2695	2924	2538	1944
ARHGAP44	54	158	192	207	111	83
ELAC2	1277	2339	3470	3185	2197	1184
SCIN	0	0	1	2	0	0
ARSD	1642	3063	3873	3763	2406	1359
PNPLA4	270	535	454	792	478	307
ADIPOR2	2459	12140	7843	5028	4333	2293
CDKL3	15	29	82	25	11	9
UPP2	0	0	2	0	0	0
PRSS21	0	0	6	10	0	0
MARK4	2279	5199	5193	4907	3158	1876
PROM1	0	18	35	0	5	7
CCDC124	5401	5037	9033	6370	4892	1966
CEACAM21	353	536	509	106	519	133
PAFAH1B1	1324	3253	3152	2975	2367	2100
NOS2	139	246	481	98	102	184
DNAH9	20	21	19	40	4	21
KIAA0100	2287	9550	6169	5456	4733	2809
GAS7	220	503	357	345	311	106
TRAPPC6A	463	635	1019	619	734	266
MATK	11	0	2	13	16	0
CD79B	0	3	0	0	28	5
SCN4A	33	82	51	65	113	55
ST7L	38	176	234	271	99	120
TKTL1	23	17	14	23	16	0
RPUSD1	591	844	988	583	614	386
RHBDF1	234	783	925	1628	768	462
LUC7L	1801	2878	2347	1428	1101	742
CACNA2D2	8	17	17	21	18	12
BAIAP3	97	523	166	61	49	60
TSR3	4647	4443	6427	3893	4863	1983
PIGQ	469	1003	1182	879	1466	504
CRAMP1	98	1832	942	712	601	728
TEAD3	530	820	530	810	773	733
DNAJC11	1231	2914	3632	2755	1797	1388
MYLIP	60	66	60	173	76	62
NOX1	0	3	0	0	0	0
E2F2	29	4	4	0	12	12
PSMB1	1541	2679	3668	5493	4303	1613
SYN1	3776	7426	8898	2945	4620	3285
JARID2	284	3558	1994	1570	1284	909
CDKL5	47	77	242	164	158	91
CAMK1G	0	10	6	10	3	6
CDK11A	2384	2064	1801	1597	888	665
NADK	2257	3524	5336	4226	2619	1762
DLEC1	17	39	27	60	11	11
CYTH3	326	1112	802	756	633	466
ADAM22	0	14	20	18	14	0
SYPL1	80	342	461	517	334	392
CYB561	238	796	605	566	451	129
SPAG9	568	3470	2362	2267	1608	1614
CELSR3	210	1280	804	348	423	560
AASS	929	1958	2010	2751	1636	1720
PLEKHG6	36	56	38	121	39	15
SS18L2	97	160	272	324	226	160
MPND	507	658	944	495	557	229
MGST1	506	1835	1556	2631	1951	731
CRY1	138	575	660	753	496	397
PGLYRP1	0	0	0	12	26	2
NFIX	65	520	1096	389	547	443
ST3GAL1	1544	3306	2940	3695	1691	1197
MMP25	40	64	38	252	808	150
IL32	646	564	1105	356	1025	399
PKD1	667	4260	2796	3113	1950	1336
MAPK8IP2	207	127	285	174	211	178
MED24	1311	2943	2940	3542	2208	1284
RHOBTB2	387	856	445	476	543	265
HEATR5B	171	701	588	754	602	572
SEC62	2890	3501	4039	5302	4520	1496
RPS20	10951	8396	15598	16981	18494	5827
CSDE1	4043	8988	9736	10472	9162	5955
UBE3C	576	1935	1509	1513	1095	1218
REV3L	198	1043	881	895	841	936
TENM1	13	55	31	15	26	45
