"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMD",1873.60307308018,2.27371868372425,0.141259040636891,16.0960932020549,2.71729276361255e-58,5.55251603316588e-54
"RNF214",606.313078706228,1.88687966561814,0.143838464019798,13.1180465425328,2.59539001894934e-39,2.65170998236054e-35
"PORCN",3489.70706546659,1.91399990078488,0.164345271497852,11.6462121686896,2.39886336415713e-31,1.63394579943956e-27
"RHOU",1474.83360449294,1.62408687588459,0.140412413487882,11.5665476829422,6.08834856919199e-31,3.11023286657173e-27
"FKBP11",2671.8235445936,2.91735674969663,0.260694038663341,11.1907305769431,4.52688209584119e-29,1.85004617492838e-25
"CLDN11",1241.00759043373,1.76108111285254,0.158435887858977,11.1154179564422,1.05555193209242e-28,3.59485803006275e-25
"AC073610.2",1695.36697738409,2.3919270762448,0.218532641012366,10.9453995758439,6.99087946056539e-28,2.04073758424562e-24
"NFKBIA",1320.66545777721,1.67725764182056,0.153763786184634,10.9080147116472,1.05535912050729e-27,2.69565103355575e-24
"CTSC",1752.37239669784,2.59302400538916,0.248993773091774,10.4140114557541,2.14009300866526e-25,4.85896228211845e-22
"KCNK1",68.769776367771,-3.50733645559635,0.338900411980367,-10.3491655117832,4.22149185585143e-25,8.6261964582468e-22
"TNFAIP3",829.447115230055,2.65822205049582,0.257780028867953,10.3119782481578,6.22074402130593e-25,1.15558803028514e-21
"KCTD12",455.764713645936,2.10539396976508,0.206464246198513,10.1973780377488,2.03697348007448e-24,3.46862634098682e-21
"HSBP1L1",323.245548602178,1.75674636554305,0.172717390608867,10.1712187716022,2.66552272238115e-24,4.18979163916434e-21
"CARHSP1",1070.29125953359,2.18372762161537,0.220308875794881,9.91211821918847,3.68744076955859e-23,5.38208319179715e-20
"CIART",83.0384131558095,2.83431459246998,0.286781571756887,9.88318243430478,4.92436628277456e-23,6.70830004148102e-20
"ID4",3868.76176348864,2.87435167225377,0.296558199147143,9.69236959396157,3.24901593386067e-22,4.14939947453181e-19
"CEACAM21",131.103102877211,-2.44102140166736,0.256229937493745,-9.52668304704618,1.62388902029842e-21,1.9519146023987e-18
"INHA",2730.07322398816,1.41329524162986,0.148517163990924,9.51603978726814,1.79904623232559e-21,2.01132187184761e-18
"WFDC3",73.1043570390478,-2.88202055424647,0.302987611269383,-9.51200790742594,1.8701730236422e-21,2.01132187184761e-18
"UAP1",2393.26546455633,1.37562245416604,0.146561712667148,9.38596055635746,6.23455370408355e-21,6.36984351946216e-18
"TRIB1",142.964730063278,2.06564573382992,0.221102469623323,9.34248150800404,9.41022821369867e-21,9.15660015803422e-18
"NQO1",235.081084566107,2.00420170709757,0.218776192112354,9.16096805482516,5.14338210260653e-20,4.77726681293918e-17
"CDC14B",535.06944228589,1.61159029636266,0.17940323287601,8.98306162340157,2.63334954787563e-19,2.3395593330996e-16
"AC022167.2",759.380507379159,2.04456145346683,0.232197812511916,8.80525716994815,1.30552891609098e-18,1.11154907797513e-15
"SHCBP1",513.984211274698,2.33469342219751,0.267450006587119,8.72945733668176,2.55897460657478e-18,2.09160348442996e-15
"OOSP4B",42.0245682847302,-3.81348189034605,0.448879032243903,-8.49556699336751,1.96969004251065e-17,1.54802485879472e-14
"PTGES",1436.47994810101,2.59262400704064,0.30626186347547,8.46538311241057,2.55312050863793e-17,1.93223942494472e-14
"SDC2",790.610952132044,1.430241721319,0.169075162041757,8.45920656853056,2.69202816290826e-17,1.96460369574527e-14
"ID2",2479.18063714479,2.62468400301105,0.312561335774827,8.39734062597527,4.56703784422303e-17,3.11325206329478e-14
"DNALI1",465.525106955363,1.28739142123882,0.153311136201927,8.39724662625414,4.57069403439579e-17,3.11325206329478e-14
"SLC7A4",240.733226202113,3.61347117301478,0.431063659910106,8.38268568908902,5.17334880226107e-17,3.41007127178718e-14
"CXCR4",276.555331571026,2.59605265096498,0.314571442848849,8.25266472841394,1.5490116588045e-16,9.89140757375347e-14
"EFNB2",328.107173496002,2.03315495446016,0.24682626478456,8.23719046364364,1.76301702150554e-16,1.09168150961952e-13
"FJX1",88.4208489861896,2.22965999015916,0.270872465772025,8.23140138590431,1.85035817220273e-16,1.11206526149384e-13
"SLC7A5",177.133353045502,1.78383959172449,0.217982280706661,8.18341557828275,2.75909592387958e-16,1.61083903167301e-13
"FLCN",91.7100840144978,-1.91652696472865,0.239516806387035,-8.00163877282055,1.22774114640196e-15,6.96879516266046e-13
"SPAG4",130.775170227707,1.86947512102565,0.236503829908133,7.90462937429734,2.68731948281884e-15,1.48412665707892e-12
"TNFRSF11B",112.145410421802,2.73096940963582,0.349236342270005,7.81983167010844,5.28940195008262e-15,2.84430630126285e-12
"STOM",2055.36831625524,1.33428274215186,0.17263329581642,7.7289999929721,1.08394680280092e-14,5.67932537652155e-12
"CDC7",181.466585860509,1.36736857416927,0.177017848664626,7.72446724714103,1.12322116262897e-14,5.73797530929008e-12
"CDC42EP3",94.5362566596231,-1.8919275300558,0.246844629805227,-7.66444678804081,1.79603649795169e-14,8.78504429380388e-12
"PRR9",69.3849730182426,3.36026356071001,0.438461498850992,7.66375969045339,1.80567612968466e-14,8.78504429380388e-12
"PRKX",3341.32349728308,0.943279381640489,0.123442177646001,7.64146744353102,2.14759834432038e-14,1.02055871088006e-11
"ACPP",1558.59964639555,2.10594674873762,0.278765671208413,7.55454120160711,4.20338891751459e-14,1.9520920259203e-11
"ANKRD28",608.814536651914,-1.30159681422474,0.175994926226759,-7.39564964814784,1.40718580523356e-13,6.28923116071727e-11
"ACTN2",208.570990388593,1.45972405027997,0.197397686330783,7.39483870056049,1.41580030044531e-13,6.28923116071727e-11
"LPIN1",455.752920697823,-1.20079025546262,0.162607188020185,-7.38460747081836,1.52903807420799e-13,6.64773702305661e-11
"KIAA1586",499.313284638748,1.21001346199549,0.164319952281209,7.3637646871071,1.78794754562354e-13,7.43465307199799e-11
"COX20",1357.9139018046,0.956935082669135,0.129984044121713,7.36194268408123,1.81252799726632e-13,7.43465307199799e-11
"CUTALP",82.8885899398328,2.07231240988179,0.281508600537796,7.36145327681936,1.8191869120089e-13,7.43465307199799e-11
"GPT2",212.024576196287,1.68322914014212,0.229170489444133,7.34487736280923,2.0594784424494e-13,8.25164362608059e-11
"ADGRV1",799.902307716962,1.60623804574125,0.219360361308004,7.32237144470202,2.43626670457546e-13,9.57359112332596e-11
"AGPAT4",130.782318011113,-1.9272650326301,0.265400353642841,-7.26172744752135,3.82177690436561e-13,1.47347526912843e-10
"TUBA3D",23.7255552222071,3.75515211666278,0.517626398766118,7.2545606746759,4.02967609711692e-13,1.52485928460161e-10
"TMEM37",1969.31004628033,2.8190682574987,0.388883827133257,7.24912701636396,4.19466387035849e-13,1.55843202776192e-10
"RALB",1139.35932312333,1.38989231112863,0.192910117254053,7.20486997215501,5.8099264710315e-13,2.1200006698046e-10
"ALDH1A3",49.9510087950593,4.66939814559569,0.649046633968421,7.19424137067919,6.28089995840649e-13,2.25164753947506e-10
"PROCR",77.3915901049863,1.83285702569359,0.255518003751396,7.17310325998341,7.33165097007368e-13,2.58301648142216e-10
"CA5B",207.741783905321,1.64940778562191,0.230762859721468,7.14763106859029,8.8288208517176e-13,3.05776483532199e-10
"GSEC",281.887993942988,2.03361292455067,0.284814289157336,7.14013658011122,9.32382284215543e-13,3.1753832659434e-10
"SH3BP4",64.3051266108155,-1.97384731392394,0.277118143389606,-7.12276464391891,1.05783372118436e-12,3.54356955060347e-10
"TSHZ2",875.506911495024,-1.21800188130428,0.171288609872592,-7.11081654647242,1.15358394187423e-12,3.79612580132301e-10
"RAB20",482.817515258375,1.69952171807091,0.239072226644121,7.10882122079699,1.17038233083757e-12,3.79612580132301e-10
"NOL3",224.082782923835,1.44946820101746,0.2053379855888,7.05893844658675,1.67779366560744e-12,5.35688058797225e-10
"P2RX6",54.5571350604188,3.32996806242051,0.473253768164656,7.0363265681636,1.97374047890498e-12,6.20483276091451e-10
"DTNA",157.495929845134,-1.94897011462876,0.278031734778846,-7.00988366014773,2.38516372646701e-12,7.38461145251921e-10
"AL138689.2",149.091934398097,1.93494789542738,0.277595400680022,6.97038888500085,3.16066073503995e-12,9.63954350146362e-10
"SHC4",93.123657564553,2.52058989223615,0.363392181527598,6.9362799211593,4.02559578077049e-12,1.20969153212153e-09
"WLS",167.866071672272,-2.12251461557468,0.306633263790271,-6.92199727237166,4.45319823052504e-12,1.31879206728331e-09
"RBP1",35789.6630876095,0.78431990127816,0.113864892005667,6.88816269407364,5.65175541179241e-12,1.63483774518998e-09
"ETHE1",338.179124395451,1.44816423466968,0.210261517784756,6.8874430753047,5.6804091175731e-12,1.63483774518998e-09
"MYH11",92.5215241335296,-2.19887418852792,0.32315052132316,-6.80448906449072,1.01408490712954e-11,2.87802930448403e-09
"RBM47",688.906008250625,1.54834811522236,0.230792229207055,6.7088398970022,1.96177762428658e-11,5.49136492803725e-09
"CBFB",1118.57157598126,0.874948681422345,0.131395101380005,6.65891400998219,2.75858263429672e-11,7.61741588502963e-09
"MIR210HG",71.3000730057421,2.14778431729977,0.322974378173508,6.65001455981111,2.9306402736323e-11,7.98462711352031e-09
"PCSK6",644.705211004882,1.66720610418944,0.251456169046992,6.63020561598501,3.35219585737087e-11,9.01299607230479e-09
"ANGPT2",153.820765056275,-2.39818519896047,0.36184818320154,-6.62760049737417,3.41187348192719e-11,9.0543146402208e-09
"PRDX6",4427.55950785191,1.08366513611776,0.165117592440506,6.56299017022198,5.27393255251116e-11,1.38163509971812e-08
"RECK",135.785812409998,-1.40732215550645,0.214971361404336,-6.54655646367444,5.88788945075449e-11,1.52295105109769e-08
"SPICE1",179.043073315545,1.60775648879505,0.246395171201719,6.52511362521311,6.79500024837217e-11,1.73561293844046e-08
"C2CD2",752.697281172421,1.93818081252757,0.29738416529941,6.51743111667086,7.1521646734677e-11,1.80428806095851e-08
"MGARP",2341.74464372619,1.14396510482867,0.175608807569798,6.51428092166726,7.30386944468503e-11,1.80469390283613e-08
"ERRFI1",2167.87029707019,1.0754907684204,0.165111190332447,6.51373638730926,7.33040980402265e-11,1.80469390283613e-08
"PRND",64.3025350797945,2.51362802365331,0.386734266396225,6.49962582079033,8.05200333335966e-11,1.95874566802228e-08
"SOX4",359.535230394654,-2.28117847101435,0.353696960396667,-6.44952806056359,1.12198985985678e-10,2.6972636230957e-08
"FNIP2",352.330539862487,1.23134338937055,0.191434907403967,6.43217794533241,1.25788353126191e-10,2.98878977648905e-08
"ESYT2",1074.95979506359,1.00762276420529,0.156947620250684,6.42012132835064,1.36165776204602e-10,3.19817410455728e-08
"NRP2",38.6939470120849,-2.10419091421222,0.330200801024979,-6.37245853941173,1.86021718070851e-10,4.31950884893156e-08
"SLC2A3",432.299149920146,1.50053672306554,0.237011051090675,6.33108336577721,2.43445758295982e-10,5.5894051966518e-08
"CXCL1",433.134523056048,2.56851912076356,0.408130949282939,6.29337011877264,3.10646442965861e-10,7.05305490618267e-08
"ZNF575",177.410519121394,1.39068077357105,0.221178570618814,6.28759273414327,3.22426416494371e-10,7.24006746664393e-08
"TOP1",1280.83992978252,1.40971228375769,0.225754738627813,6.24444161095457,4.25316769555508e-10,9.446655292497e-08
"RUFY3",798.117603511779,-0.958599362909075,0.153576789703905,-6.24182446291036,4.32496166986957e-10,9.50282438302309e-08
"COL3A1",404.697722050388,-2.2383287711686,0.359097443840001,-6.23320719644528,4.56981096892223e-10,9.93399120627201e-08
"TIMMDC1",1380.59916364893,1.24166485527084,0.199353982819689,6.22844268124751,4.71094378890698e-10,1.0132992145529e-07
"IMP3",203.537298265173,1.10933887805068,0.178417485158488,6.21765785491965,5.04630401699497e-10,1.07412683628412e-07
"ABHD11-AS1",38.1466106366236,2.02013698157372,0.325965403819087,6.19739689520826,5.74046179502049e-10,1.20676674412198e-07
"LRRC8C",361.647590134497,-1.09928398106265,0.177415180245292,-6.19611004843441,5.78756684564717e-10,1.20676674412198e-07
"LINC01658",69.4408545978195,2.67782698750374,0.434503263562237,6.16296173600587,7.13967646902957e-10,1.47365807038536e-07
"ATP8B1",41.7934682318186,-2.12045509268607,0.34465937235973,-6.15232099498196,7.63571334261757e-10,1.56028166443047e-07
"AC015712.2",30.4150064767846,3.99188276798186,0.650490378772852,6.13672837946125,8.42382321490535e-10,1.70428122349877e-07
"PLCG1-AS1",101.898785848656,1.41635824035838,0.231277278279237,6.12406999466809,9.12147948271659e-10,1.82733638970422e-07
"NKAIN1",139.682731010824,2.58844013933801,0.423200605798305,6.11634318068922,9.57470169683227e-10,1.89950926672884e-07
"KIF1BP",685.531824115006,0.894891362722075,0.146800108478211,6.09598570463523,1.08765133713645e-09,2.13702571375444e-07
"ATF3",622.465098398785,1.32584372375121,0.217552835636276,6.09435275745095,1.09881117015161e-09,2.1383911857979e-07
"SRGN",3935.74983829018,1.50606345498516,0.248119861733756,6.0699028463962,1.27987653176445e-09,2.46726387264856e-07
"FBXO3",504.189707889782,0.895162079324613,0.147613363842483,6.06423467376459,1.32583451309069e-09,2.53197219070047e-07
"LDHB",5634.4463577222,0.913152757466332,0.150671142157201,6.0605683636061,1.35641383945049e-09,2.56638522178993e-07
"ABO",469.779813608565,1.01227478424283,0.167122410795186,6.05708581767291,1.38609650692457e-09,2.59848587362354e-07
"PLA2G4A",465.180618041909,1.34775802667677,0.222609698981322,6.05435447262276,1.40981859296565e-09,2.61893028442364e-07
"AC010197.2",5513.88505462333,0.920821457765755,0.152245280944866,6.04827586149763,1.46404120032135e-09,2.69515476462761e-07
"NETO2",129.409028401715,1.46249338934457,0.243027309355171,6.01781500698431,1.76787059678544e-09,3.22541676559943e-07
"WNT3",68.6881890582693,1.82820634664302,0.305748881141582,5.97943756921369,2.23909353995429e-09,4.04899445977221e-07
"NDRG4",140.296476755187,1.88121058797561,0.315554829613697,5.96159656399046,2.49785235051229e-09,4.47729078336562e-07
"AC079329.1",38.8652842798604,2.58187013545037,0.433933745898458,5.94991783850464,2.68277124246984e-09,4.76693457118511e-07
"GCNA",361.465698899898,2.75871400619797,0.463805720008383,5.9479947900343,2.71447232535552e-09,4.78168340485471e-07
"CYP11A1",1885.54858455987,0.883608975366965,0.14912924375156,5.92512208295646,3.12065464527212e-09,5.4502100018368e-07
"RBFOX1",130.633988218581,2.02475802567321,0.343448556545241,5.89537497563045,3.73831469383242e-09,6.4736205469298e-07
"RAMP1",1067.18825352055,1.38520404302792,0.236119418535159,5.86654012457538,4.44982621098179e-09,7.64098729371445e-07
"LHCGR",404.260167955156,-1.62677729039361,0.277750369232952,-5.8569761577138,4.71370766272482e-09,8.02665853167658e-07
"NDUFC1",3214.08764164016,0.896321134519188,0.153090777284302,5.8548343043203,4.77485824208572e-09,8.06359118337021e-07
"VCL",3269.0654135728,-1.05955360957764,0.181103520880754,-5.85054119558112,4.89976083672144e-09,8.2066977817677e-07
"SLC31A1",488.141173206595,0.879849902782106,0.151326217220239,5.81425954434307,6.09028591059033e-09,1.01177969347157e-06
"AL161784.1",279.02202746882,1.3912187283815,0.239624231600463,5.80583490696863,6.4046045994558e-09,1.05541685794581e-06
"AC112128.1",187.484331578219,1.46716070700486,0.253641304516881,5.7843918986279,7.27751036166612e-09,1.18966917384228e-06
"ZNF641",165.216197816831,-1.16107743808155,0.201164482649087,-5.77178149339089,7.84377889994656e-09,1.27206173048816e-06
"NPAS2",171.653655909898,1.28891101040001,0.223385530910881,5.76989478747492,7.9321040825548e-09,1.27625680962933e-06
"FILIP1L",292.305140805181,-1.38688703358022,0.240520923762239,-5.76618038832741,8.10882666209261e-09,1.29449815635313e-06
"CTPS1",493.175177895441,1.4407178283527,0.25102706633416,5.73929277584296,9.50727364851455e-09,1.50598162584299e-06
"AC006369.1",19.8064138362828,-2.60937442827812,0.455645912912215,-5.72675921002026,1.02367302346316e-08,1.60905650472663e-06
"HS3ST1",1331.65814283057,2.65230848976331,0.463269421513072,5.72519654135746,1.03314063204923e-08,1.6115416546026e-06
"OSGIN1",135.63930953298,1.64669893270504,0.287931850518496,5.71905792894996,1.07116274487392e-08,1.65819238854195e-06
"ZNF430",222.067301862444,-1.41992239592529,0.248658878499125,-5.71032252898338,1.12762269663516e-08,1.73246933707089e-06
"AZGP1",92.9653131049942,-1.57655766064421,0.276564528590449,-5.70050566021377,1.19452566227735e-08,1.82156249126682e-06
"MYO1B",1135.08474225305,0.747717592777341,0.131641766166032,5.67994197095691,1.34740447261131e-08,2.03947133283996e-06
"MICAL2",154.016673908682,1.93724928865239,0.342290900808381,5.65965757219146,1.51675329643706e-08,2.27892182789668e-06
