"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"KCNK1",68.769776367771,-3.50733645559635,0.338900411980367,-10.3491655117832,4.22149185585143e-25,8.6261964582468e-22,24.3745340442356,"DOWN"
"CEACAM21",131.103102877211,-2.44102140166736,0.256229937493745,-9.52668304704618,1.62388902029842e-21,1.9519146023987e-18,20.7894436546016,"DOWN"
"WFDC3",73.1043570390478,-2.88202055424647,0.302987611269383,-9.51200790742594,1.8701730236422e-21,2.01132187184761e-18,20.728118211786,"DOWN"
"OOSP4B",42.0245682847302,-3.81348189034605,0.448879032243903,-8.49556699336751,1.96969004251065e-17,1.54802485879472e-14,16.705602110599,"DOWN"
"FLCN",91.7100840144978,-1.91652696472865,0.239516806387035,-8.00163877282055,1.22774114640196e-15,6.96879516266046e-13,14.9108931890087,"DOWN"
"CDC42EP3",94.5362566596231,-1.8919275300558,0.246844629805227,-7.66444678804081,1.79603649795169e-14,8.78504429380388e-12,13.7456848421131,"DOWN"
"ANKRD28",608.814536651914,-1.30159681422474,0.175994926226759,-7.39564964814784,1.40718580523356e-13,6.28923116071727e-11,12.8516485544061,"DOWN"
"LPIN1",455.752920697823,-1.20079025546262,0.162607188020185,-7.38460747081836,1.52903807420799e-13,6.64773702305661e-11,12.815581700191,"DOWN"
"AGPAT4",130.782318011113,-1.9272650326301,0.265400353642841,-7.26172744752135,3.82177690436561e-13,1.47347526912843e-10,12.4177346684141,"DOWN"
"SH3BP4",64.3051266108155,-1.97384731392394,0.277118143389606,-7.12276464391891,1.05783372118436e-12,3.54356955060347e-10,11.9755825928371,"DOWN"
"TSHZ2",875.506911495024,-1.21800188130428,0.171288609872592,-7.11081654647242,1.15358394187423e-12,3.79612580132301e-10,11.9379507980511,"DOWN"
"DTNA",157.495929845134,-1.94897011462876,0.278031734778846,-7.00988366014773,2.38516372646701e-12,7.38461145251921e-10,11.6224818040198,"DOWN"
"WLS",167.866071672272,-2.12251461557468,0.306633263790271,-6.92199727237166,4.45319823052504e-12,1.31879206728331e-09,11.3513279721701,"DOWN"
"MYH11",92.5215241335296,-2.19887418852792,0.32315052132316,-6.80448906449072,1.01408490712954e-11,2.87802930448403e-09,10.9939256809454,"DOWN"
"ANGPT2",153.820765056275,-2.39818519896047,0.36184818320154,-6.62760049737417,3.41187348192719e-11,9.0543146402208e-09,10.4670070815841,"DOWN"
"RECK",135.785812409998,-1.40732215550645,0.214971361404336,-6.54655646367444,5.88788945075449e-11,1.52295105109769e-08,10.2300403527769,"DOWN"
"SOX4",359.535230394654,-2.28117847101435,0.353696960396667,-6.44952806056359,1.12198985985678e-10,2.6972636230957e-08,9.95001106806038,"DOWN"
"NRP2",38.6939470120849,-2.10419091421222,0.330200801024979,-6.37245853941173,1.86021718070851e-10,4.31950884893156e-08,9.73043634885891,"DOWN"
"COL3A1",404.697722050388,-2.2383287711686,0.359097443840001,-6.23320719644528,4.56981096892223e-10,9.93399120627201e-08,9.34010176423035,"DOWN"
"LRRC8C",361.647590134497,-1.09928398106265,0.177415180245292,-6.19611004843441,5.78756684564717e-10,1.20676674412198e-07,9.23750397990003,"DOWN"
"ATP8B1",41.7934682318186,-2.12045509268607,0.34465937235973,-6.15232099498196,7.63571334261757e-10,1.56028166443047e-07,9.11715038410972,"DOWN"
"LHCGR",404.260167955156,-1.62677729039361,0.277750369232952,-5.8569761577138,4.71370766272482e-09,8.02665853167658e-07,8.32663735528695,"DOWN"
"VCL",3269.0654135728,-1.05955360957764,0.181103520880754,-5.85054119558112,4.89976083672144e-09,8.2066977817677e-07,8.30982511789538,"DOWN"
"ZNF641",165.216197816831,-1.16107743808155,0.201164482649087,-5.77178149339089,7.84377889994656e-09,1.27206173048816e-06,8.10547465670319,"DOWN"
"FILIP1L",292.305140805181,-1.38688703358022,0.240520923762239,-5.76618038832741,8.10882666209261e-09,1.29449815635313e-06,8.09104198315558,"DOWN"
"AC006369.1",19.8064138362828,-2.60937442827812,0.455645912912215,-5.72675921002026,1.02367302346316e-08,1.60905650472663e-06,7.98983874138984,"DOWN"
"ZNF430",222.067301862444,-1.41992239592529,0.248658878499125,-5.71032252898338,1.12762269663516e-08,1.73246933707089e-06,7.94783619129262,"DOWN"
"AZGP1",92.9653131049942,-1.57655766064421,0.276564528590449,-5.70050566021377,1.19452566227735e-08,1.82156249126682e-06,7.9228045157628,"DOWN"
"JUP",59.9508009717831,-2.02359549505437,0.357887259712768,-5.65428201238137,1.56499075275314e-08,2.31732036534475e-06,7.80548822427737,"DOWN"
"HMGA1",30.7562421345499,-2.3590849918612,0.417604329015943,-5.64909132388601,1.61298155516727e-08,2.3375649005878e-06,7.79237059884469,"DOWN"
"AP000426.1",14.8493820714393,-3.73286158336441,0.663566170255785,-5.6254549292733,1.85019711536642e-08,2.607374334855e-06,7.73278200048583,"DOWN"
"GADD45G",129.15964278584,-1.14361820743344,0.205365868066813,-5.56868684265186,2.56666303476748e-08,3.36199951618197e-06,7.59063114408545,"DOWN"
"NFATC2",39.3980520474224,-2.59350628392483,0.47241041528876,-5.48994306643208,4.02063322206731e-08,5.07145797899527e-06,7.39570554313622,"DOWN"
"CTTNBP2NL",273.98050790389,-1.00129926063831,0.182429880802997,-5.4886801231844,4.04948193393954e-08,5.07651005141843e-06,7.39260053422307,"DOWN"
"NAB2",162.226501355322,-1.54209722427066,0.281015405472492,-5.48758962761424,4.07455291071448e-08,5.07679354741095e-06,7.38992003822757,"DOWN"
"AC067930.5",39.5735688519035,-2.23411194091314,0.408189451363006,-5.47322311601416,4.41923137217668e-08,5.47288326418535e-06,7.35465326002877,"DOWN"
"CYP3A4",128.945626163451,-1.441143506413,0.264906880920786,-5.44018902568235,5.32240685447838e-08,6.39753303908301e-06,7.27389193025413,"DOWN"
"NAPRT",71.6361821323256,-2.01919414636147,0.372611419303175,-5.41903452700831,5.99217456351897e-08,7.03701695580153e-06,7.22241554329445,"DOWN"
"PLEKHF2",175.598778273943,-1.35176522997441,0.252788919896205,-5.34740696122855,8.92232493270172e-08,9.95937500130205e-06,7.04952196469564,"DOWN"
"PMAIP1",159.188464880212,-1.48746722857207,0.279171211947606,-5.32815406787442,9.92159481584052e-08,1.08998854014454e-05,7.00341851292146,"DOWN"
"ABLIM1",151.817881652409,-1.77655140777758,0.337926354484152,-5.25721472801228,1.46253511061512e-07,1.52476747195456e-05,6.83489369915117,"DOWN"
"DOT1L",182.327005860755,-1.1110238263896,0.21289919590148,-5.21854402354684,1.80335118010758e-07,1.80635676540776e-05,6.74391969161833,"DOWN"
"AL109930.1",73.7616599049825,-1.2438125255693,0.240126555072869,-5.17982080404166,2.22099149850377e-07,2.14074246605783e-05,6.65345310383782,"DOWN"
