"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"HAS1",38.1512885362539,2.90591251165468,0.584054975975089,4.97540921863257,6.51099432181994e-07,0.000694627975131845,6.18635268339728,"UP"
"AC022509.2",22.1827619134094,5.01115626066362,1.00799803465172,4.97139487220832,6.64729057285244e-07,0.000694627975131845,6.17735533650671,"UP"
"IL1B",5495.24073345147,3.87481305938064,0.77972817893216,4.96944084371455,6.71462518252146e-07,0.000694627975131845,6.17297822509592,"UP"
"TAP2",10.3366775788024,6.81994598669225,1.37890864600933,4.94590124329824,7.57923786791009e-07,0.000723790072464548,6.12037446275871,"UP"
"IL1A",521.057434319016,3.42890065073833,0.695031557055473,4.93344599382652,8.07913882814545e-07,0.000723790072464548,6.09263492909132,"UP"
"CSF3",530.193561940789,3.59180256873694,0.785800742801197,4.57088212456124,4.85675429625341e-06,0.0032299150625191,5.31365386697795,"UP"
"ALOX15",37.9481017315204,2.56902540442805,0.570720755022449,4.50137020919626,6.75167888857683e-06,0.00405558105110288,5.17058822103812,"UP"
"ZBED6CL",285.066098951129,1.30429054294723,0.291266657422849,4.4779946818757,7.53474781217905e-06,0.00438451684408082,5.12293127893155,"UP"
"CXCL1",3816.20777608893,2.81793011803479,0.6415837188043,4.39214717494154,1.12236677811746e-05,0.00609360637458623,4.94986519683875,"UP"
"IL23A",84.9810062007612,2.08548424270076,0.476613077115975,4.37563370128281,1.21080197550986e-05,0.00609360637458623,4.91692687913244,"UP"
"CEACAM6",23.6198292345576,6.12608967713331,1.41628118277072,4.32547558469191,1.52203126939142e-05,0.00726711391470196,4.8175764251051,"UP"
"CSF2",28.1200049666852,2.65589933936256,0.620648266848714,4.27923428006598,1.87537381520259e-05,0.00873033395322188,4.72691215209701,"UP"
"AC139495.3",46.2556515813888,4.34227512001599,1.07314569934114,4.0463052898427,5.2032365700802e-05,0.0182882596737257,4.283726428045,"UP"
"MUCL1",113.8663773403,3.85907432124611,0.954783292154607,4.04183268910954,5.30350691359856e-05,0.0182882596737257,4.27543686067,"UP"
"LAIR1",106.413057661662,1.98454437673582,0.507091421809402,3.9135830175446,9.09366163234907e-05,0.025881295810538,4.04126120956984,"UP"
"UPP1",1433.19174366785,1.07575209729242,0.281540716724232,3.82094678811987,0.000132940335820572,0.0330064265775316,3.87634322848924,"UP"
"UPB1",85.3965692046602,2.72405959272197,0.714267161222916,3.81378249009521,0.00013685592825359,0.0335315031580276,3.86373638530495,"UP"
"MMP7",46.4320817986172,3.67384302214966,0.974358155192771,3.77052627164886,0.000162903651316577,0.0379178611395747,3.78806918132151,"UP"
"ZC3H12A",1075.99435362092,1.12161598300056,0.298465387335271,3.75794323427069,0.000171315731881318,0.0391432844147472,3.7662027540483,"UP"
"WNT5B",58.8171243212192,2.84649362008735,0.758069721261368,3.75492324815586,0.000173394604620304,0.0391432844147472,3.76096442023977,"UP"
"PHF1",45.9731609377967,1.7031837945651,0.453774835218159,3.75336766690967,0.000174474657989583,0.0391432844147472,3.75826764431818,"UP"
"CXCL6",638.005167273552,2.5359498825633,0.676955184060856,3.74611191741067,0.000179596491640667,0.039344309068716,3.74570215138798,"UP"
"MARCO",341.172692380755,2.21919127632615,0.595800002723418,3.72472518660988,0.00019552810772245,0.0418497574011464,3.70879080271149,"UP"
"MSC",301.011509841644,1.69185611668911,0.454893087421177,3.71923901125949,0.000199823900105647,0.0421175027934257,3.69935256884658,"UP"
"GPR68",170.165248296277,2.15930503913325,0.585823181373107,3.68593307296592,0.000227866232835036,0.046120620887187,3.64232002751793,"UP"
"IL6",598.704513287219,2.55983821131252,0.700670699216334,3.65341124464826,0.00025877926526495,0.0507234599841961,3.58707052453258,"UP"
"IL11",380.897311043159,3.45755765520921,0.947139896639869,3.6505247719745,0.000261705066210797,0.0507626045615755,3.58218787000018,"UP"
"FSD1",60.6408329997402,1.77821811547781,0.490400678258355,3.62605150097489,0.000287787982379754,0.0546826532642184,3.5409273455458,"UP"
"ICAM1",2878.26020220181,1.1306396742091,0.314640397944817,3.59343454176344,0.00032634766148634,0.0602460365045418,3.48631949498644,"UP"
"CHORDC1",97.8420369512364,2.58501228053519,0.722406180987844,3.57833632735583,0.00034578830435771,0.0619127309177396,3.4611897000118,"UP"
"FOXD4",23.126557472499,2.48821807467969,0.709096301187482,3.50899880666817,0.000449796922924122,0.0715524772208824,3.34698351991338,"UP"
"AC022509.1",11.7232424379591,2.95534336843456,0.852511341794786,3.46663231742196,0.000527022268510058,0.0794124293893555,3.27817103395877,"UP"
"IL36G",24.7830805789508,3.62149128115913,1.04701395978931,3.45887583188278,0.000542434908076427,0.0796384085573792,3.26565236947813,"UP"
"MEI1",143.80145305717,2.10939044009814,0.609911516964129,3.45851878744273,0.000543154389495041,0.0796384085573792,3.26507670636799,"UP"
"CXCL8",44435.9360582308,1.6695712361984,0.485322786823098,3.4401253794971,0.000581444760682939,0.0814481872837905,3.23549153849378,"UP"
"FBL",199.438992803367,2.05064683830682,0.597795666795633,3.43034744513776,0.000602808831975545,0.0834034009558345,3.21982039330143,"UP"
"TMPRSS4",11.5023069382765,4.45808217486769,1.30356589521323,3.41991317143078,0.000626411263333431,0.0857676774597928,3.20314044194695,"UP"
"CXCL3",1966.72229711068,2.3112336937163,0.684684696508542,3.37561757331825,0.000736502155298048,0.0959049414951395,3.13282597790122,"UP"
"AC084871.3",102.70640989827,2.64257014378141,0.794327837982957,3.32680036808443,0.000878492845275049,0.105170358176102,3.05626177118658,"UP"
"SPHK1",1040.04293343712,1.33536520032168,0.402951686383511,3.31395858472905,0.000919851307723277,0.108408551905792,3.0362823698874,"UP"
"KCNN4",280.685125751843,1.4366469352135,0.433918731744933,3.31086636761742,0.000930076127117461,0.10888440690464,3.03148150280741,"UP"
"PTGDR2",11.4301796434527,3.40008640944074,1.02826950653304,3.30661017159267,0.000944322078828987,0.109218766645184,3.02487985612396,"UP"
"CCL24",100.846321851897,3.04293598161521,0.92197326726053,3.30046009973447,0.000965264380548767,0.11065219521886,3.01535371951852,"UP"
"C3",2541.8088291874,1.4632222678618,0.445467044438812,3.28469251795076,0.00102093722737046,0.114246231351252,2.9910009598178,"UP"
