ID	B_cells_naive_CIBERSORT	B_cells_memory_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_naive_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_(Tregs)_CIBERSORT	T_cells_gamma_delta_CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Eosinophils_CIBERSORT	Neutrophils_CIBERSORT
GSE138518_GSM4110156	0.000000000	0.000000000	0.0971246075	0.000000000	0.135144528	0.3982832	0.000000000	0.0000000	0	0	0.00919021	0.1347589175	0.05508012	0.000000000	0	0.000000000	0.000000000	0.000000000	0.03876695	0.000000000	0.000000000	0.1316514905
GSE138518_GSM4110157	0.000000000	0.103079762	0.1307779644	0.082155173	0.083732168	0.3813071	0.000000000	0.0000000	0	0	0.00000000	0.0532074963	0.08591225	0.007347774	0	0.000000000	0.000000000	0.004076466	0.00000000	0.068403839	0.000000000	0.0000000000
GSE138518_GSM4110158	0.000000000	0.094887464	0.0557279246	0.000000000	0.000000000	0.4620372	0.000000000	0.0000000	0	0	0.05016677	0.0906689304	0.20234266	0.044169100	0	0.000000000	0.000000000	0.000000000	0.00000000	0.000000000	0.000000000	0.0000000000
GSE138518_GSM4110159	0.000000000	0.026708653	0.1224869876	0.000000000	0.000000000	0.4893474	0.000000000	0.0000000	0	0	0.03651934	0.0001889467	0.04184982	0.019208376	0	0.000000000	0.000000000	0.004720854	0.00000000	0.083072899	0.000000000	0.1758966993
GSE138518_GSM4110160	0.002532432	0.000000000	0.0423680478	0.036646439	0.000000000	0.2485366	0.000000000	0.0000000	0	0	0.00000000	0.0521537164	0.36252967	0.022771394	0	0.000000000	0.000000000	0.009735353	0.00000000	0.000000000	0.000000000	0.2227263699
GSE138518_GSM4110161	0.000000000	0.052164984	0.0538137848	0.005505919	0.000000000	0.5913277	0.000000000	0.0000000	0	0	0.00000000	0.1192056168	0.08903648	0.000000000	0	0.000000000	0.000000000	0.005703207	0.00000000	0.000000000	0.000000000	0.0832422748
GSE155489_GSM4705199	0.000000000	0.091414342	0.1485750139	0.001286912	0.008859489	0.3763936	0.000000000	0.0000000	0	0	0.13862376	0.0000000000	0.06406368	0.000000000	0	0.000000000	0.045194465	0.045731432	0.00000000	0.078184203	0.000000000	0.0016731462
GSE155489_GSM4705200	0.000000000	0.140247125	0.0567037606	0.004241567	0.000000000	0.4806122	0.000000000	0.0000000	0	0	0.03087058	0.0000000000	0.09814437	0.000000000	0	0.000000000	0.000000000	0.019115325	0.00000000	0.167616590	0.002448482	0.0000000000
GSE155489_GSM4705201	0.000000000	0.177459167	0.0946266262	0.046835617	0.020225737	0.4597902	0.000000000	0.0000000	0	0	0.00000000	0.0641535048	0.06994944	0.001205293	0	0.000000000	0.000000000	0.015586857	0.00000000	0.029829779	0.010451407	0.0098863303
GSE155489_GSM4705202	0.000000000	0.145354003	0.0688683877	0.036222423	0.019455365	0.5104075	0.000000000	0.0000000	0	0	0.00000000	0.0987219121	0.07772700	0.008514883	0	0.000000000	0.000000000	0.003624065	0.02788304	0.000000000	0.003221424	0.0000000000
GSE155489_GSM4705203	0.000000000	0.218946514	0.0586577106	0.000000000	0.000000000	0.4207302	0.000000000	0.1165399	0	0	0.00000000	0.0531913393	0.05540558	0.000000000	0	0.000000000	0.008912386	0.008808569	0.00000000	0.047239476	0.011568412	0.0000000000
GSE155489_GSM4705204	0.000000000	0.051086142	0.2115855903	0.000000000	0.000000000	0.5049626	0.000000000	0.0000000	0	0	0.05357032	0.0000000000	0.00000000	0.000000000	0	0.000000000	0.000000000	0.013627562	0.00000000	0.101330433	0.000000000	0.0638373496
GSE155489_GSM4705205	0.000000000	0.101899638	0.1970024111	0.000000000	0.077005264	0.3374430	0.003408792	0.0000000	0	0	0.08728623	0.0000000000	0.05576149	0.000000000	0	0.000000000	0.000000000	0.033413914	0.00000000	0.067627588	0.000000000	0.0391516514
GSE155489_GSM4705206	0.000000000	0.137376495	0.3143253219	0.000000000	0.067220503	0.2685002	0.000000000	0.0000000	0	0	0.06859449	0.0000000000	0.00000000	0.000000000	0	0.000000000	0.000000000	0.006077968	0.00000000	0.062781839	0.000000000	0.0751231642
GSE193123_GSM5773736	0.000000000	0.004720801	0.0000000000	0.000000000	0.030120750	0.1933228	0.000000000	0.0000000	0	0	0.13729980	0.0000000000	0.08765427	0.377951707	0	0.000000000	0.000000000	0.122774664	0.00000000	0.005403686	0.006266204	0.0344853154
GSE193123_GSM5773737	0.010778637	0.018837366	0.0000000000	0.000000000	0.054081278	0.1664829	0.000000000	0.0000000	0	0	0.09211284	0.0000000000	0.06563470	0.476113251	0	0.022982494	0.000000000	0.084986948	0.00000000	0.000000000	0.007989591	0.0000000000
GSE193123_GSM5773738	0.020929257	0.000000000	0.0008878849	0.000000000	0.101742748	0.2633910	0.000000000	0.0000000	0	0	0.16765120	0.0000000000	0.09459662	0.268785251	0	0.000000000	0.000000000	0.041720324	0.00000000	0.040295723	0.000000000	0.0000000000
GSE193123_GSM5773739	0.035756579	0.000000000	0.0000000000	0.025466205	0.109620768	0.1738177	0.002779658	0.0000000	0	0	0.14095271	0.0000000000	0.01814263	0.298660736	0	0.000000000	0.000000000	0.037472140	0.00000000	0.076184937	0.006548559	0.0745973419
GSE193123_GSM5773740	0.024728538	0.000000000	0.0014513362	0.000000000	0.099596169	0.1801064	0.003907265	0.0000000	0	0	0.13543624	0.0000000000	0.01498916	0.294849016	0	0.004684237	0.000000000	0.184665366	0.00000000	0.055306730	0.000000000	0.0002795291
GSE193123_GSM5773741	0.007892519	0.002458392	0.0000000000	0.014936862	0.088533181	0.1127796	0.000000000	0.0000000	0	0	0.09236006	0.0000000000	0.04933978	0.496173824	0	0.025388972	0.000000000	0.099776854	0.00000000	0.000000000	0.001098232	0.0092617676
