"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SREBF2-AS1",156.525510144806,-1.11418738744425,0.150578472827704,-7.39938031327448,1.36821477320203e-13,2.62738282897986e-09
"SRSF7",2286.54847703472,0.586962020918941,0.10340285783996,5.67645839950965,1.37511977135626e-08,0.000105660685108738
"GSTO1",1471.09836515687,0.851232544791072,0.150790950235269,5.64511692155895,1.65069028446709e-08,0.000105660685108738
"PSMA5",1728.15187867981,0.679550638738496,0.126465154117615,5.37342197919993,7.72562420024339e-08,0.000370887903793185
"CXCL2",345.366322003918,2.19210759240847,0.417910504873505,5.24539959356126,1.559439684162e-07,0.000436603761064938
"LGALS4",15.5005864141951,-2.01544974263422,0.384985354127813,-5.23513354735334,1.64865614771532e-07,0.000436603761064938
"PTPRVP",49.3519544553055,-2.22789848216431,0.429583318341478,-5.18618481454473,2.14645807640965e-07,0.000436603761064938
"CXCL1",1170.05373299268,2.02649940048879,0.390890889042755,5.1843096303714,2.16816476824316e-07,0.000436603761064938
"SERPINA1",375.260098223504,1.76092317098459,0.339750897280088,5.18298313582642,2.18364789856288e-07,0.000436603761064938
"BTG2",1128.05000067469,1.37945034647239,0.266566466412901,5.17488326658342,2.2805351795727e-07,0.000436603761064938
"HLA-DQB1",195.667905344492,-4.66184240824212,0.903873413663105,-5.15762753696803,2.50098493553836e-07,0.000436603761064938
"TRIB1",764.934903514604,1.47347870818884,0.289296790301929,5.09331163560792,3.51862621461446e-07,0.000563068159993679
"IDH3B",749.64857647575,0.385780497042757,0.0767287394648232,5.02784875306886,4.96012842630584e-07,0.00073268727823347
"NCALD",279.826834086205,-1.70867872066289,0.342528147845019,-4.98843301320743,6.08710106587033e-07,0.000747075616268281
"EIF4A1P10",193.299144976906,0.686497449775019,0.13770080967635,4.98542783726947,6.18248516243231e-07,0.000747075616268281
"RPP38",178.24070186319,0.56607513662742,0.113575894873459,4.98411337421657,6.2246575328295e-07,0.000747075616268281
"AP003068.4",32.3078370994337,-1.78501818531726,0.360721392773364,-4.94846776786195,7.4799973726932e-07,0.000844931703222515
"ACTL6A",529.003067543306,0.552145713676171,0.111963248224,4.93149066711176,8.16044674549788e-07,0.000870583660298865
"NUDT5",885.688228873695,0.486380590226379,0.0988616938497838,4.91980838367401,8.66289788869597e-07,0.000875545411350677
"HLA-DQB1-AS1",35.7563167819363,-4.08103520492378,0.834094412406538,-4.8927737007003,9.94247059572666e-07,0.000954626314248695
"ACSS2",1045.52980710339,-1.01801998664181,0.209508459670359,-4.85908773442164,1.1792787038372e-06,0.00104247703123329
"RBM3",2332.09011042416,0.461394205612137,0.0950039758092429,4.85657786089462,1.19431831938408e-06,0.00104247703123329
"RPF2",870.792588667419,0.655517099785275,0.135680954236933,4.83131257052171,1.35635868847598e-06,0.00111479373333495
"NPM1",7514.82943976687,0.504663393972361,0.104572549571509,4.82596432849961,1.39327446753313e-06,0.00111479373333495
"PHKA2",698.468274921355,-0.70622999753024,0.14680084464626,-4.8108033658254,1.50324851440213e-06,0.00115467524888257
"MVD",2890.84502811026,-1.22220509158295,0.255746069097917,-4.77897899230274,1.76187599970349e-06,0.00130128095470408
"IL6",122.992192964301,3.3610113072551,0.707866695802401,4.74808509453215,2.05351640344954e-06,0.00143001184101737
"CNNM1",17.9830427436058,-1.69648789277418,0.357532022573179,-4.74499565259766,2.08510813667064e-06,0.00143001184101737
"ABCA10",60.2027461324414,-1.21234144135385,0.257312276468659,-4.71155693770996,2.45831391004767e-06,0.00162782765567743
"ARHGAP33",107.883506840155,-1.12079257914143,0.238793428635161,-4.69356541990033,2.68484077563194e-06,0.00167542700904486
"PNMA8B",96.7567639890462,-1.54952539750382,0.330244242676711,-4.69205877729929,2.70469391659588e-06,0.00167542700904486
"AC015712.2",27.6589717326379,2.77068487042958,0.594300919794945,4.66209083335352,3.13012973428171e-06,0.00187837129023161
"CYB561D2",219.110048890845,0.76781718534227,0.164986962210434,4.65380521621431,3.25864653520434e-06,0.00189623604289482
"EGR2",625.184100016673,1.80655955266553,0.390755689906144,4.62324567327338,3.77781852255255e-06,0.00210636745307963
"TSHZ2",2075.76429826503,-1.42138534226563,0.307665399988281,-4.6199063733516,3.83913247189434e-06,0.00210636745307963
"KCTD21",281.597424936863,-0.825716041227861,0.178990621269884,-4.61318048604814,3.96553667461742e-06,0.00211528335451884
"AL356652.1",33.142021528963,1.78102026714639,0.387471611696535,4.5965180761198,4.29609719186336e-06,0.00222967444257708
"RARS",937.468248827738,0.461019735259125,0.100522615181303,4.58622902346531,4.51323511103232e-06,0.00228072773255668
"DNAJA1",3949.73834772338,0.439967599673142,0.0964627857472447,4.56100864457679,5.09084848947903e-06,0.00250665547547348
"SDHB",1682.14430049847,0.57371266945612,0.126181331548153,4.54673177416251,5.44853633294722e-06,0.00261570608003964
