ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042178	xenobiotic catabolic process	5/222	26/18614	1.2369480783705e-05	0.0355127793300169	0.0327335523055098	CYP2D7/NR1I2/CYP2C8/CYP2D6/CYP2A6	5
BP	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	10/222	168/18614	3.46463291311602e-05	0.0381105836208041	0.0351280526582345	PCDHGC3/ROBO3/PCDHGC5/PCDHGA5/PCDHGA7/PCDHGA12/CNTN2/PCDHGA4/NEXN/PCDHGA2	10
BP	GO:0001676	long-chain fatty acid metabolic process	8/222	110/18614	5.20798856098206e-05	0.0381105836208041	0.0351280526582345	CYP2D7/ACSM1/PTGIS/CYP2E1/PNPLA3/CYP2C8/CYP2D6/CYP2A6	8
BP	GO:0019369	arachidonic acid metabolic process	6/222	56/18614	5.30972951874666e-05	0.0381105836208041	0.0351280526582345	CYP2D7/PTGIS/CYP2E1/CYP2C8/CYP2D6/CYP2A6	6
BP	GO:0007612	learning	9/222	152/18614	8.91068844986358e-05	0.0460643101938517	0.0424593212808092	SLC12A5/B3GAT1/HMGCR/NTRK2/CSMD1/CNTN2/DBH/NRXN2/SLC8A2	9
BP	GO:0006805	xenobiotic metabolic process	8/222	123/18614	0.000114699148012262	0.0460643101938517	0.0424593212808092	CYP2D7/ACSM1/CYP2E1/NR1I2/CYP2C8/CYP2D6/CYP2A6/HNF4A	8
BP	GO:0042417	dopamine metabolic process	5/222	41/18614	0.000121840457637946	0.0460643101938517	0.0424593212808092	NPR1/MAOB/SNCB/DBH/MOXD1	5
BP	GO:0006690	icosanoid metabolic process	8/222	125/18614	0.000128357534500457	0.0460643101938517	0.0424593212808092	CYP2D7/PTGIS/CYP2E1/CYP2C8/CYP2D6/ANXA1/GGT1/CYP2A6	8
BP	GO:0048167	regulation of synaptic plasticity	10/222	209/18614	0.00021280221321318	0.0567350964534454	0.0522950127349582	MPP2/SYT7/AKAP5/RIMS2/AGER/NTRK2/NEURL1/CNTN2/ADGRB1/SLC8A2	10
BP	GO:0050804	modulation of chemical synaptic transmission	16/222	487/18614	0.000258068873950537	0.0567350964534454	0.0522950127349582	OTOF/MPP2/SYT7/AKAP5/FER1L5/RIMS2/AGER/NTRK2/NEURL1/WNT3A/SV2C/CNTN2/ADGRB1/NRXN2/SLC8A2/CACNG4	16
BP	GO:0099177	regulation of trans-synaptic signaling	16/222	488/18614	0.000264034779643979	0.0567350964534454	0.0522950127349582	OTOF/MPP2/SYT7/AKAP5/FER1L5/RIMS2/AGER/NTRK2/NEURL1/WNT3A/SV2C/CNTN2/ADGRB1/NRXN2/SLC8A2/CACNG4	16
BP	GO:0021953	central nervous system neuron differentiation	9/222	177/18614	0.000281154803855229	0.0567350964534454	0.0522950127349582	KNDC1/SPTBN4/NTRK2/WNT3A/DCLK1/FAIM2/SOX4/CNTN2/CEND1	9
BP	GO:0019336	phenol-containing compound catabolic process	3/222	12/18614	0.000340071269815806	0.0567350964534454	0.0522950127349582	MAOB/DBH/MOXD1	3
BP	GO:0045161	neuronal ion channel clustering	3/222	12/18614	0.000340071269815806	0.0567350964534454	0.0522950127349582	GLDN/SPTBN4/CNTN2	3
BP	GO:0006820	monoatomic anion transport	8/222	147/18614	0.000388904928940917	0.0567350964534454	0.0522950127349582	PDZK1/SLC12A5/CLCNKB/CLCNKA/ANO2/GABRG3/NMUR1/CLIC5	8
BP	GO:0006821	chloride transport	7/222	113/18614	0.000413731308447249	0.0567350964534454	0.0522950127349582	SLC12A5/CLCNKB/CLCNKA/ANO2/GABRG3/NMUR1/CLIC5	7
BP	GO:0033559	unsaturated fatty acid metabolic process	7/222	114/18614	0.000436403784774799	0.0567350964534454	0.0522950127349582	CYP2D7/PTGIS/CYP2E1/CYP2C8/CYP2D6/ANXA1/CYP2A6	7
BP	GO:0021681	cerebellar granular layer development	3/222	13/18614	0.0004382105158202	0.0567350964534454	0.0522950127349582	KNDC1/FAIM2/CEND1	3
BP	GO:0045229	external encapsulating structure organization	12/222	317/18614	0.000443200011261453	0.0567350964534454	0.0522950127349582	VWA1/MELTF/COL2A1/SMOC1/NPNT/WNT3A/COL28A1/TGM3/SCX/COL3A1/MYH11/TIE1	12
BP	GO:0050890	cognition	12/222	317/18614	0.000443200011261453	0.0567350964534454	0.0522950127349582	SLC12A5/HLA-DRA/B3GAT1/AGER/HMGCR/NTRK2/CHL1/CSMD1/CNTN2/DBH/NRXN2/SLC8A2	12
BP	GO:0071466	cellular response to xenobiotic stimulus	9/222	189/18614	0.000454835623989226	0.0567350964534454	0.0522950127349582	CYP2D7/ACSM1/CYP2E1/NR1I2/CYP2C8/CERS1/CYP2D6/CYP2A6/HNF4A	9
BP	GO:0001958	endochondral ossification	4/222	31/18614	0.0004812048629221	0.0567350964534454	0.0522950127349582	FGFR3/COL2A1/BMP4/SCX	4
BP	GO:0036075	replacement ossification	4/222	31/18614	0.0004812048629221	0.0567350964534454	0.0522950127349582	FGFR3/COL2A1/BMP4/SCX	4
BP	GO:0006584	catecholamine metabolic process	5/222	55/18614	0.000494036019274167	0.0567350964534454	0.0522950127349582	NPR1/MAOB/SNCB/DBH/MOXD1	5
BP	GO:0009712	catechol-containing compound metabolic process	5/222	55/18614	0.000494036019274167	0.0567350964534454	0.0522950127349582	NPR1/MAOB/SNCB/DBH/MOXD1	5
BP	GO:0070593	dendrite self-avoidance	3/222	14/18614	0.000552827731222529	0.0600897041265671	0.0553870891030779	ROBO3/CNTN2/NEXN	3
BP	GO:0006720	isoprenoid metabolic process	7/222	119/18614	0.000565106935359565	0.0600897041265671	0.0553870891030779	MVD/CYP2E1/HMGCS1/HMGCR/CYP2C8/LRAT/CYP2D6	7
