ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0030595	leukocyte chemotaxis	179	0.661346459331035	2.80619065545373	1e-10	1.26173913043478e-09	6.91075514874142e-10	1635	tags=43%, list=10%, signal=39%	IL6/CXCL2/CXCL3/IL10/IL1B/CXCL1/CCL20/CCR2/CCL24/PPBP/CCR7/TREM1/FFAR2/FPR2/PF4/SERPINE1/CXCR1/CCR1/CXCL6/VAV3/CXCR4/C3AR1/CCL2/KIT/RIPOR2/EDNRB/GPR183/CXCL5/MMP2/TNFSF14/PIK3CG/CCR5/TNFAIP6/C5AR2/CORO1A/S100A8/NEDD9/CXCR2/ITGB2/RAC2/WNT5A/ADGRE2/AIF1/GPSM3/RARRES2/CXCR5/C5AR1/CCL5/SPI1/JAML/SYK/NCKAP1L/PTK2B/CSF1R/LGALS3/CSF3R/FCER1G/IL16/CCL22/PADI2/S1PR1/TGFB2/PTPRO/PDE4B/CCL7/LYN/ADAM8/CXCL8/PIK3CD/TRPM2/CCL3/MPP1/PF4V1/CX3CR1/SLAMF1/CXCL16/NOD2
CC	GO:0070820	tertiary granule	144	0.680189088446549	2.79837104495703	1e-10	1.26173913043478e-09	6.91075514874142e-10	1453	tags=38%, list=9%, signal=34%	CLEC12A/ORM1/MMP9/CXCL1/LYZ/PPBP/CLEC4D/SIGLEC5/FCAR/HBB/FPR2/MGAM/CYBB/FPR1/CD93/CLEC5A/PLAU/GPR84/CD53/CD300A/TNFAIP6/LAIR1/PTAFR/ITGB2/VAMP8/OLR1/CTSS/NCKAP1L/CD33/LGALS3/PTX3/CTSH/FCER1G/TBC1D10C/LTF/QPCT/ITGAM/ADGRE3/SLC11A1/ADAM8/LTA4H/ASAH1/CR1/ATP8B4/TRPM2/LRG1/CSTB/SLC2A3/STOM/LILRB2/CD59/CDA/ITGAX/GGH
BP	GO:0097530	granulocyte migration	111	0.68899282496033	2.71681146151803	1e-10	1.26173913043478e-09	6.91075514874142e-10	1730	tags=48%, list=11%, signal=43%	CXCL2/CXCL3/IL1B/CXCL1/CCL20/CCL24/PPBP/CCR7/TREM1/PF4/CXCR1/CXCL6/VAV3/C3AR1/CCL2/RIPOR2/CXCL5/CD300A/PIK3CG/TNFAIP6/C5AR2/S100A8/CXCR2/ITGB2/RAC2/ADGRE2/RARRES2/C5AR1/CCL5/JAML/SYK/NCKAP1L/CSF1R/LGALS3/IL1A/CSF3R/FCER1G/CCL22/TGFB2/PDE4B/CCL7/ADAM8/CXCL8/FUT4/PIK3CD/CCL3/MPP1/PF4V1/SLAMF1/NOD2/PTGER4/CKLF/MYD88
BP	GO:0071219	cellular response to molecule of bacterial origin	180	0.637070801728053	2.71228854892809	1e-10	1.26173913043478e-09	6.91075514874142e-10	1730	tags=41%, list=11%, signal=37%	IL6/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/PPBP/PF4/SERPINE1/TRIB1/SCIMP/TNFAIP3/LY96/HCK/CD6/CXCL6/TLR2/CD14/IL18/CSF3/CCL2/IL24/ZFP36/NLRP3/EDNRB/CXCL5/CARD16/SLC7A5/CCR5/HAVCR2/CASP1/PTAFR/WNT5A/NFKBIA/NFKBIZ/PLCG2/CCL5/SPI1/TLR1/ABCA1/MIR21/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/MAPK14/LTF/TLR4/PDE4B/CD86/ANKRD1/LYN/PYCARD/ARG1/KMO/CXCL8/LILRA2/CD180/PDCD4/CCL3/LILRB2/TSPO/PTPN22/SBNO2/PF4V1/CX3CR1/SASH1/NOD2/LILRB1/MYD88
BP	GO:0071222	cellular response to lipopolysaccharide	173	0.641502607448435	2.71010236952129	1e-10	1.26173913043478e-09	6.91075514874142e-10	1730	tags=42%, list=11%, signal=38%	IL6/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/PPBP/PF4/SERPINE1/TRIB1/SCIMP/TNFAIP3/LY96/HCK/CD6/CXCL6/TLR2/CD14/IL18/CSF3/CCL2/IL24/ZFP36/NLRP3/EDNRB/CXCL5/CARD16/SLC7A5/CCR5/HAVCR2/CASP1/PTAFR/WNT5A/NFKBIA/NFKBIZ/PLCG2/CCL5/SPI1/ABCA1/MIR21/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/MAPK14/LTF/TLR4/PDE4B/CD86/ANKRD1/LYN/PYCARD/ARG1/KMO/CXCL8/LILRA2/CD180/PDCD4/CCL3/LILRB2/TSPO/PTPN22/SBNO2/PF4V1/CX3CR1/SASH1/NOD2/LILRB1/MYD88
BP	GO:0032496	response to lipopolysaccharide	264	0.614125863440635	2.69419012297258	1e-10	1.26173913043478e-09	6.91075514874142e-10	1769	tags=40%, list=11%, signal=36%	IL6/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/PPBP/CCR7/REN/PF4/SERPINE1/CD96/TRIB1/THBD/GJB2/SCIMP/TNFAIP3/LY96/HCK/CSF2RB/CD6/CXCL6/TLR2/CD14/IL18/FOS/CSF3/SLPI/CCL2/PTGS2/IL24/ZFP36/NLRP3/EDNRB/CXCL5/CARD16/SLC7A5/CCR5/NQO1/HAVCR2/NR4A1/CASP1/PTAFR/S100A8/WNT5A/NFKBIA/IL10RA/NFKBIZ/PLCG2/CCL5/SPI1/BTK/ABCA1/MIR21/FASLG/IL12RB2/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/MAPK14/LTF/CITED1/TLR4/CYP1A1/SOD2/FGF10/SLC11A1/PDE4B/CD86/ANKRD1/LYN/PYCARD/ACP5/ARG1/FBXO3/KMO/CXCL8/PTGIR/LILRA2/C2/CASP8/CD180/PDCD4/IRAK3/CCL3/CYP27B1/LILRB2/TSPO/PTPN22/ALAD/SMAD6/SBNO2/PF4V1/CX3CR1/ACE/SASH1/NOD2/LILRB1/PTGER4/MYD88/FOXP3
BP	GO:0097529	myeloid leukocyte migration	177	0.634893193005184	2.69061354829528	1e-10	1.26173913043478e-09	6.91075514874142e-10	1947	tags=41%, list=12%, signal=37%	IL6/CXCL2/CXCL3/IL1B/CXCL1/CCL20/CCR2/CCL24/PPBP/CCR7/TREM1/FPR2/PF4/SERPINE1/CXCR1/CCR1/CXCL6/VAV3/C3AR1/CCL2/KIT/RIPOR2/EDNRB/CXCL5/CD300A/MMP2/PIK3CG/TNFAIP6/C5AR2/S100A8/CXCR2/ITGB2/RAC2/ADGRE2/AIF1/RARRES2/C5AR1/CCL5/SPI1/JAML/SYK/NCKAP1L/PTK2B/CD200R1/CSF1R/LGALS3/IL1A/CSF3R/FCER1G/CCL22/TGFB2/PTPRO/PDE4B/CCL7/LYN/ADAM8/CXCL8/CD9/FUT4/PIK3CD/CCL3/MPP1/PF4V1/CX3CR1/SLAMF1/NOD2/PTGER4/CKLF/MYD88/CD200/PDGFB/MCOLN2/BST1
BP	GO:0050900	leukocyte migration	297	0.598291979629204	2.67089506991651	1e-10	1.26173913043478e-09	6.91075514874142e-10	1947	tags=38%, list=12%, signal=34%	IL6/CXCL2/CXCL3/IL10/IL1B/CXCL1/CCL20/APOD/NLRP12/CCR2/CCL24/SELL/PPBP/CCR7/TREM1/FFAR2/GATA3/FPR2/PF4/SERPINE1/LCK/HCK/CXCR1/CCR1/CXCL6/DOCK8/VAV3/CXCR4/C3AR1/CCL2/KIT/RIPOR2/EDNRB/GPR183/CXCL5/CD300A/MMP2/TNFSF14/PIK3CG/CCR5/TNFAIP6/C5AR2/TBX21/CORO1A/PTAFR/S100A8/NEDD9/CXCR2/ITGB2/RAC2/WNT5A/ADGRE2/AIF1/GPSM3/RARRES2/CXCR5/C5AR1/CCL5/SPI1/JAML/SYK/NCKAP1L/PTK2B/CD200R1/CSF1R/LGALS3/IL1A/ITGB7/CSF3R/ITGAL/FCER1G/IL16/ZP3/RIPK3/CCL22/CHST2/PADI2/S1PR1/TGFB2/PTPRO/PDE4B/CCL7/CD34/LYN/PYCARD/ADAM8/CXCL8/CD9/FUT4/PIK3CD/TRPM2/ADA/CCL3/F11R/ITGA4/LYVE1/ICAM1/MPP1/SPN/PF4V1/CX3CR1/SLAMF1/CXCL16/PLVAP/NOD2/PTGER4/CKLF/MYD88/F2RL1/CD200/PDGFB/MCOLN2/BST1
BP	GO:0071216	cellular response to biotic stimulus	207	0.616698498851488	2.65730432821443	1e-10	1.26173913043478e-09	6.91075514874142e-10	1660	tags=37%, list=10%, signal=34%	IL6/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/PPBP/PF4/SERPINE1/TRIB1/SCIMP/TNFAIP3/LY96/HCK/CD6/CXCL6/TLR2/CD14/CLEC7A/IL18/CSF3/CCL2/IL24/ZFP36/NLRP3/EDNRB/CXCL5/CARD16/SLC7A5/CCR5/HAVCR2/CASP1/PTAFR/WNT5A/NFKBIA/NFKBIZ/PLCG2/CCL5/SPI1/TLR1/BTK/SYK/ABCA1/MIR21/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/MAPK14/LTF/TLR4/PDE4B/CD86/ANKRD1/LYN/PYCARD/ARG1/KMO/CXCL8/LILRA2/PPP1R15B/CD180/PDCD4/CCL3/LILRB2/TSPO/PTPN22/CDA/SBNO2/PF4V1/CX3CR1/SASH1/NOD2/LILRB1
BP	GO:0060326	cell chemotaxis	230	0.607133999597804	2.6388140207397	1e-10	1.26173913043478e-09	6.91075514874142e-10	1635	tags=37%, list=10%, signal=34%	IL6/CXCL2/CXCL3/IL10/IL1B/CXCL1/CCL20/CCR2/CCL24/PPBP/LEF1/CCR7/TREM1/FFAR2/FPR2/PF4/SERPINE1/CXCR1/CCR1/CXCL6/VAV3/CXCR4/C3AR1/CCL2/KIT/RIPOR2/EDNRB/GPR183/CXCL5/MMP2/TNFSF14/HBEGF/PIK3CG/CCR5/TNFAIP6/C5AR2/NR4A1/CORO1A/BIN2/S100A8/NEDD9/CXCR2/ITGB2/RAC2/WNT5A/ADGRE2/AIF1/GPSM3/RARRES2/CXCR5/C5AR1/CCL5/SPI1/JAML/SYK/NCKAP1L/PTK2B/CSF1R/LGALS3/LPAR1/CSF3R/FCER1G/IL16/CCL22/PADI2/S1PR1/TGFB2/PTPRO/PDE4B/CCL7/LYN/MET/ADAM8/CXCL8/PIK3CD/EGR3/TRPM2/CCL3/MPP1/PF4V1/CX3CR1/SLAMF1/KDR/CXCL16/NOD2
