ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050900	leukocyte migration	44/267	393/18614	1.32831135225336e-26	5.03961327044926e-23	3.52072419470944e-23	CXCL2/CXCL1/IL6/CXCL3/SERPINE1/TREM1/CXCR4/CCL20/SELL/NEDD9/CXCL6/NLRP12/WNT5A/RARRES2/EDNRB/ADGRE2/CCL2/IL1B/HCK/DOCK8/KIT/PF4/CXCL5/TNFAIP6/LCK/PIK3CG/RIPOR2/FFAR2/CCR1/CCR2/MMP2/C5AR1/APOD/PTAFR/CCL24/ITGB2/CXCR5/RAC2/C3AR1/CXCR1/S100A8/GATA3/IL10/FPR2	44
BP	GO:0030595	leukocyte chemotaxis	36/267	241/18614	3.01657287006268e-26	5.7224387345089e-23	3.99775288779886e-23	CXCL2/CXCL1/IL6/CXCL3/SERPINE1/TREM1/CXCR4/CCL20/NEDD9/CXCL6/WNT5A/RARRES2/EDNRB/ADGRE2/CCL2/IL1B/KIT/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/FFAR2/CCR1/CCR2/MMP2/C5AR1/CCL24/ITGB2/CXCR5/RAC2/C3AR1/CXCR1/S100A8/IL10/FPR2	36
BP	GO:0002237	response to molecule of bacterial origin	42/267	366/18614	7.75168961262973e-26	7.50226148692818e-23	5.24115484950896e-23	CXCL2/CXCL1/TRIB1/IL6/TNFAIP3/NFKBIA/NQO1/CXCL3/SERPINE1/TLR2/CD14/CARD16/IL18/CXCL6/SLC7A5/THBD/FOS/ZFP36/NFKBIZ/WNT5A/EDNRB/PTGS2/HAMP/CCL2/PLCG2/IL1B/HCK/NR4A1/PF4/CXCL5/CD96/LY96/NLRP3/C5AR1/SCIMP/REN/PTAFR/CASP1/HAVCR2/IL10RA/S100A8/IL10	42
BP	GO:0032496	response to lipopolysaccharide	41/267	345/18614	7.90960620656634e-26	7.50226148692818e-23	5.24115484950896e-23	CXCL2/CXCL1/TRIB1/IL6/TNFAIP3/NFKBIA/NQO1/CXCL3/SERPINE1/TLR2/CD14/CARD16/IL18/CXCL6/SLC7A5/THBD/FOS/ZFP36/NFKBIZ/WNT5A/EDNRB/PTGS2/HAMP/CCL2/PLCG2/IL1B/HCK/NR4A1/PF4/CXCL5/CD96/LY96/NLRP3/SCIMP/REN/PTAFR/CASP1/HAVCR2/IL10RA/S100A8/IL10	41
BP	GO:0050727	regulation of inflammatory response	44/267	414/18614	1.16326363461187e-25	8.82684445943489e-23	6.16652175147936e-23	IL6/SIGLEC10/TNFAIP3/NFKBIA/SOCS3/MMP9/CTSC/SERPINE1/TLR2/CARD16/IL18/NLRP12/ZFP36/NFKBIZ/NCF1/ALOX5AP/WNT5A/EDNRB/PTGS2/HAMP/PLCG2/IL1B/IER3/HCK/TNFAIP6/OSM/PIK3CG/TNFAIP8L2/FFAR2/CCR2/NLRP3/PIK3AP1/PTPRC/NLRP6/CASP1/CCL24/VAMP8/CALCRL/FGR/S100A8/GATA3/LRRK2/IL10/FPR2	44
BP	GO:0060326	cell chemotaxis	39/267	312/18614	2.03801022850955e-25	1.28870180116087e-22	9.00299957085445e-23	CXCL2/CXCL1/IL6/CXCL3/SERPINE1/TREM1/CXCR4/CCL20/HBEGF/NEDD9/CXCL6/LEF1/WNT5A/RARRES2/EDNRB/ADGRE2/CCL2/IL1B/NR4A1/KIT/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/FFAR2/CCR1/CCR2/MMP2/C5AR1/CCL24/ITGB2/CXCR5/RAC2/C3AR1/CXCR1/S100A8/IL10/FPR2	39
BP	GO:0071222	cellular response to lipopolysaccharide	32/267	224/18614	8.49618634340693e-23	4.60493299812655e-20	3.21705221243589e-20	CXCL2/CXCL1/TRIB1/IL6/TNFAIP3/NFKBIA/CXCL3/SERPINE1/TLR2/CD14/CARD16/IL18/CXCL6/SLC7A5/ZFP36/NFKBIZ/WNT5A/EDNRB/HAMP/CCL2/PLCG2/IL1B/HCK/PF4/CXCL5/LY96/NLRP3/SCIMP/PTAFR/CASP1/HAVCR2/IL10	32
BP	GO:0071219	cellular response to molecule of bacterial origin	32/267	237/18614	5.0248717534419e-22	2.38304542906982e-19	1.66481935199562e-19	CXCL2/CXCL1/TRIB1/IL6/TNFAIP3/NFKBIA/CXCL3/SERPINE1/TLR2/CD14/CARD16/IL18/CXCL6/SLC7A5/ZFP36/NFKBIZ/WNT5A/EDNRB/HAMP/CCL2/PLCG2/IL1B/HCK/PF4/CXCL5/LY96/NLRP3/SCIMP/PTAFR/CASP1/HAVCR2/IL10	32
BP	GO:0071216	cellular response to biotic stimulus	33/267	264/18614	1.30164037293358e-21	5.48713730545554e-19	3.83336895794941e-19	CXCL2/CXCL1/TRIB1/IL6/TNFAIP3/NFKBIA/CXCL3/SERPINE1/TLR2/CD14/CARD16/IL18/CXCL6/SLC7A5/ZFP36/NFKBIZ/WNT5A/EDNRB/HAMP/CCL2/PLCG2/IL1B/HCK/PF4/CXCL5/LY96/CLEC7A/NLRP3/SCIMP/PTAFR/CASP1/HAVCR2/IL10	33
BP	GO:0001819	positive regulation of cytokine production	41/267	489/18614	4.73140638452314e-20	1.79509558228808e-17	1.25407171328729e-17	IL6/SERPINE1/TLR2/CD14/IL18/ORM1/SLC7A5/NLRP12/NR4A3/WNT5A/PTGS2/PLCG2/IL1B/KIT/CLEC4E/SORL1/PF4/OSM/CYBB/PIK3CG/LY96/FFAR2/CCR2/CLEC7A/NLRP3/HLA-DPB1/TMIGD2/CLEC5A/PTPRC/C5AR1/SCIMP/PTAFR/CASP1/HAVCR2/C3AR1/FGR/SASH3/GATA3/LRRK2/IL10/CRLF2	41
BP	GO:0097529	myeloid leukocyte migration	30/267	241/18614	1.12567016956099e-19	3.88253874846764e-17	2.71238037029146e-17	CXCL2/CXCL1/IL6/CXCL3/SERPINE1/TREM1/CCL20/CXCL6/RARRES2/EDNRB/ADGRE2/CCL2/IL1B/KIT/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/CCR1/CCR2/MMP2/C5AR1/CCL24/ITGB2/RAC2/C3AR1/CXCR1/S100A8/FPR2	30
BP	GO:0050867	positive regulation of cell activation	36/267	394/18614	6.69010571525749e-19	2.11518842364058e-16	1.47769177114196e-16	IL6/CTSC/MAP3K8/CD27/IL18/LEF1/NR4A3/NFKBIZ/WNT5A/HAMP/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/CLEC7A/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/CLEC4D/ITGB2/HAVCR2/VAMP8/IL2RG/PLEK/FGR/SASH3/GATA3/LRRK2/IL10/CRLF2	36
BP	GO:0002696	positive regulation of leukocyte activation	35/267	377/18614	1.28212903583671e-18	3.74184427843421e-16	2.61408980747922e-16	IL6/CTSC/MAP3K8/CD27/IL18/LEF1/NR4A3/NFKBIZ/WNT5A/HAMP/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/CLEC7A/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/CLEC4D/ITGB2/HAVCR2/VAMP8/IL2RG/FGR/SASH3/GATA3/LRRK2/IL10/CRLF2	35
BP	GO:0050729	positive regulation of inflammatory response	24/267	154/18614	2.99226831571824e-18	8.10904713559644e-16	5.66506136765304e-16	IL6/NFKBIA/CTSC/SERPINE1/TLR2/IL18/NLRP12/NFKBIZ/ALOX5AP/WNT5A/PTGS2/PLCG2/IL1B/OSM/PIK3CG/FFAR2/CCR2/NLRP3/NLRP6/CASP1/CCL24/VAMP8/S100A8/LRRK2	24
BP	GO:0031349	positive regulation of defense response	37/267	441/18614	3.63088178055137e-18	9.18371031694127e-16	6.41583180591464e-16	IL6/TNFAIP3/NFKBIA/CTSC/SERPINE1/TLR2/CD14/IL18/NLRP12/NFKBIZ/ALOX5AP/WNT5A/PTGS2/CD1D/PLCG2/IL1B/HCK/CLEC4E/OSM/PIK3CG/LY96/FFAR2/CCR2/CLEC7A/NLRP3/SH2D1B/PIK3AP1/RNF125/SCIMP/NLRP6/CASP1/CCL24/HAVCR2/VAMP8/S100A8/LRRK2/FPR2	37
BP	GO:0002443	leukocyte mediated immunity	35/267	401/18614	9.12943488347341e-18	2.16481724674363e-15	1.51236296293329e-15	IL6/CTSC/CD27/TREM1/IL18/CXCL6/NR4A3/GZMB/NFKBIZ/WAS/CD1D/ADGRE2/PLCG2/IL1B/KIT/CD96/PIK3CG/CCR2/CLEC7A/NLRP3/SH2D1B/HLA-DPB1/PTPRC/KLRB1/SCIMP/NLRP6/PTAFR/ITGB2/HAVCR2/VAMP8/RAC2/FGR/SASH3/GATA3/IL10	35
BP	GO:0071621	granulocyte chemotaxis	22/267	131/18614	1.52142196776944e-17	3.39545585042191e-15	2.37209938999594e-15	CXCL2/CXCL1/CXCL3/TREM1/CCL20/CXCL6/RARRES2/ADGRE2/CCL2/IL1B/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/C5AR1/CCL24/ITGB2/RAC2/C3AR1/CXCR1/S100A8	22
BP	GO:0030593	neutrophil chemotaxis	20/267	107/18614	5.22677518439396e-17	1.10168805831059e-14	7.69650287386198e-15	CXCL2/CXCL1/CXCL3/TREM1/CCL20/CXCL6/CCL2/IL1B/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/C5AR1/CCL24/ITGB2/RAC2/C3AR1/CXCR1/S100A8	20
BP	GO:0002697	regulation of immune effector process	33/267	384/18614	1.34211590337477e-16	2.67999354600204e-14	1.87227027407073e-14	IL6/JUNB/IL18/CXCL6/SLC7A5/NR4A3/NFKBIZ/NCF1/WAS/WNT5A/CD1D/ADGRE2/PLCG2/IL1B/KIT/CD96/FFAR2/CCR2/CLEC7A/NLRP3/SH2D1B/PTPRC/KLRB1/SCIMP/PTAFR/ITGB2/HAVCR2/VAMP8/RAC2/FGR/SASH3/GATA3/IL10	33
BP	GO:0002764	immune response-regulating signaling pathway	35/267	450/18614	3.333037843171e-16	6.3227727884954e-14	4.41715225742347e-14	TNFAIP3/NFKBIA/TLR2/CD14/NR4A3/NFKBIZ/FPR1/PLCG2/HCK/KIT/CLEC4E/LCK/LY96/FFAR2/CLEC7A/CD3D/NLRP3/HLA-DPB1/TMIGD2/PIK3AP1/RNF125/PTPRC/C5AR1/SCIMP/NLRP6/CLEC4D/CASP1/BTNL8/HAVCR2/C3AR1/FGR/IGHA1/GATA3/TRGC2/FPR2	35
BP	GO:0097530	granulocyte migration	22/267	156/18614	7.07200540432599e-16	1.27767564304823e-13	8.92596972836734e-14	CXCL2/CXCL1/CXCL3/TREM1/CCL20/CXCL6/RARRES2/ADGRE2/CCL2/IL1B/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/C5AR1/CCL24/ITGB2/RAC2/C3AR1/CXCR1/S100A8	22
BP	GO:0002703	regulation of leukocyte mediated immunity	26/267	246/18614	1.96756836235875e-15	3.29959784514465e-13	2.30513202954089e-13	IL6/IL18/CXCL6/WAS/CD1D/ADGRE2/PLCG2/IL1B/KIT/CD96/CCR2/CLEC7A/NLRP3/SH2D1B/PTPRC/KLRB1/SCIMP/PTAFR/ITGB2/HAVCR2/VAMP8/RAC2/FGR/SASH3/GATA3/IL10	26
BP	GO:1990266	neutrophil migration	20/267	128/18614	2.0002833536723e-15	3.29959784514465e-13	2.30513202954089e-13	CXCL2/CXCL1/CXCL3/TREM1/CCL20/CXCL6/CCL2/IL1B/PF4/CXCL5/TNFAIP6/PIK3CG/RIPOR2/C5AR1/CCL24/ITGB2/RAC2/C3AR1/CXCR1/S100A8	20
BP	GO:0002757	immune response-activating signaling pathway	33/267	423/18614	2.29546547796925e-15	3.62874834308973e-13	2.5350798568099e-13	TNFAIP3/NFKBIA/TLR2/CD14/NR4A3/NFKBIZ/FPR1/PLCG2/HCK/CLEC4E/LCK/LY96/FFAR2/CLEC7A/CD3D/NLRP3/HLA-DPB1/TMIGD2/PIK3AP1/RNF125/PTPRC/C5AR1/SCIMP/NLRP6/CASP1/BTNL8/HAVCR2/C3AR1/FGR/IGHA1/GATA3/TRGC2/FPR2	33
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	29/267	329/18614	5.44228795909652e-15	8.25921620672488e-13	5.76997098147581e-13	TNFAIP3/NFKBIA/CD14/NR4A3/NFKBIZ/FPR1/PLCG2/HCK/KIT/CLEC4E/LCK/LY96/FFAR2/CLEC7A/CD3D/HLA-DPB1/TMIGD2/PIK3AP1/PTPRC/C5AR1/SCIMP/CLEC4D/BTNL8/C3AR1/FGR/IGHA1/GATA3/TRGC2/FPR2	29
BP	GO:0002274	myeloid leukocyte activation	25/267	240/18614	9.82302852929633e-15	1.43340654769809e-12	1.00139213914041e-12	IL6/CTSC/TLR2/IL18/CXCL6/NR4A3/WNT5A/HAMP/ADGRE2/PLCG2/KIT/PIK3CG/CCR2/PTPRC/C5AR1/PTAFR/CLEC4D/ITGB2/HAVCR2/VAMP8/RAC2/FGR/LRRK2/IL10/CRLF2	25
BP	GO:0002699	positive regulation of immune effector process	26/267	267/18614	1.41849763719709e-14	1.99325186500954e-12	1.39250567269484e-12	IL6/IL18/SLC7A5/NR4A3/NFKBIZ/WNT5A/CD1D/ADGRE2/PLCG2/IL1B/KIT/FFAR2/CCR2/CLEC7A/NLRP3/SH2D1B/PTPRC/SCIMP/PTAFR/ITGB2/VAMP8/RAC2/FGR/SASH3/GATA3/IL10	26
BP	GO:0002253	activation of immune response	34/267	495/18614	3.56391632927912e-14	4.82910662617321e-12	3.37366214929505e-12	TNFAIP3/NFKBIA/TLR2/CD14/NR4A3/NFKBIZ/FPR1/PLCG2/IL1B/HCK/CLEC4E/LCK/LY96/FFAR2/CLEC7A/CD3D/NLRP3/HLA-DPB1/TMIGD2/PIK3AP1/RNF125/PTPRC/C5AR1/SCIMP/NLRP6/CASP1/BTNL8/HAVCR2/C3AR1/FGR/IGHA1/GATA3/TRGC2/FPR2	34
BP	GO:1990868	response to chemokine	17/267	99/18614	5.33790963558274e-14	6.75067638580031e-12	4.71608998680609e-12	CXCL2/CXCL1/CXCL3/CXCR4/CCL20/CXCL6/ACKR3/CCL2/DOCK8/PF4/CXCL5/RIPOR2/CCR1/CCR2/CCL24/CXCR5/CXCR1	17
BP	GO:1990869	cellular response to chemokine	17/267	99/18614	5.33790963558274e-14	6.75067638580031e-12	4.71608998680609e-12	CXCL2/CXCL1/CXCL3/CXCR4/CCL20/CXCL6/ACKR3/CCL2/DOCK8/PF4/CXCL5/RIPOR2/CCR1/CCR2/CCL24/CXCR5/CXCR1	17
BP	GO:0007159	leukocyte cell-cell adhesion	31/267	415/18614	5.57531627502243e-14	6.82346772497907e-12	4.76694274380526e-12	IL6/MAP3K8/CD27/SELL/IL18/LEF1/NR4A3/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/RIPOR2/TNFAIP8L2/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/RAC2/SASH3/S100A8/GATA3/IL10	31
BP	GO:0045785	positive regulation of cell adhesion	33/267	482/18614	9.58214875946428e-14	1.13608351229398e-11	7.93679295274048e-12	IL6/MAP3K8/CD27/CASS4/IL18/NEDD9/LEF1/NR4A3/NFKBIZ/WNT5A/CD1D/TGM2/APBB1IP/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/SASH3/GATA3/IL10/CDH13/MIP	33
