	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
TSPAN6	1837	1192	834	1032	1276	1022	1417	1150
TNMD	9	20	2	1	0	3	2	0
DPM1	1279	704	515	842	798	767	1269	1023
SCYL3	130	91	60	78	91	108	38	50
C1orf112	103	78	52	78	75	86	71	33
FGR	15	16	8	3	3	4	4	7
CFH	3010	2074	986	1308	1192	1017	625	550
FUCA2	286	164	162	232	430	387	141	146
GCLC	1101	733	366	520	575	438	563	507
NFYA	99	82	83	98	156	119	88	76
STPG1	84	55	26	30	61	43	21	22
NIPAL3	70	66	47	48	79	56	43	46
LAS1L	116	100	59	104	174	162	85	96
ENPP4	185	154	52	92	157	108	121	100
SEMA3F	16	5	4	4	0	0	3	10
CFTR	13	5	34	21	29	7	3	3
ANKIB1	639	454	332	388	523	459	368	401
CYP51A1	10771	8008	5796	7654	6415	6087	6808	6231
KRIT1	282	238	181	211	352	291	173	141
RAD52	64	50	38	52	76	71	35	49
MYH16	39	20	14	7	8	3	17	18
BAD	405	302	245	361	324	293	241	232
LAP3	416	376	160	219	408	357	314	301
CD99	195	130	159	226	235	224	175	158
HS3ST1	604	475	216	306	4495	3846	775	707
AOC1	3	3	2	2	2	4	1	2
WNT16	7	7	0	11	11	4	3	3
HECW1	11	6	23	23	9	10	11	7
MAD1L1	42	34	26	41	32	40	40	24
LASP1	205	138	169	222	123	107	66	57
SNX11	143	146	86	105	123	115	92	118
TMEM176A	273	163	96	149	164	137	98	78
M6PR	416	381	335	382	661	658	566	498
KLHL13	79	37	65	60	52	54	22	34
CYP26B1	5	6	13	10	5	4	10	13
ICA1	87	32	55	38	35	27	29	23
DBNDD1	12	25	5	12	4	3	3	9
ALS2	264	254	171	222	195	181	111	133
CASP10	29	25	59	46	61	41	23	12
CFLAR	1423	1264	698	1002	1757	1652	984	873
TFPI	5064	3462	1419	1979	3799	3642	1844	1863
NDUFAF7	221	179	171	194	198	177	159	154
RBM5	651	593	443	610	819	766	384	395
MTMR7	34	21	34	29	26	20	14	16
SLC7A2	225	217	73	120	77	66	121	182
ARF5	3055	1831	1423	1647	1586	1344	1875	1865
SARM1	106	112	80	89	101	69	37	57
POLDIP2	427	253	271	321	418	379	249	276
PLXND1	116	63	63	98	106	70	65	69
AK2	1377	803	507	736	1313	1294	1708	1543
CD38	15	6	18	10	16	9	1	7
FKBP4	272	201	213	270	259	228	155	122
KDM1A	280	244	157	211	268	208	137	125
RBM6	901	789	608	887	1093	904	601	564
CAMKK1	34	16	15	19	16	16	15	24
RECQL	654	511	291	420	472	389	568	471
VPS50	194	186	131	165	213	179	147	119
HSPB6	17	23	15	20	21	24	7	8
ARHGAP33	38	27	19	36	8	11	5	16
NDUFAB1	1816	1057	929	1194	1927	1554	1314	1130
PDK4	253	229	77	107	567	414	21	42
SLC22A16	6	7	22	16	2	7	0	0
ZMYND10	23	3	2	2	2	2	1	3
ABCB5	10	6	31	19	20	10	4	4
ARX	5	0	0	0	1	1	0	0
SLC25A13	339	285	190	295	711	574	268	212
ST7	356	324	143	228	375	332	266	220
CDC27	564	442	304	395	394	372	384	342
SLC4A1	36	11	7	10	4	1	4	5
CALCR	4	2	12	9	20	11	6	6
HCCS	179	144	110	113	226	182	121	112
DVL2	63	67	42	34	44	51	16	23
PRSS22	3	1	1	1	1	4	2	1
UPF1	138	151	109	185	166	150	68	72
SKAP2	214	156	106	166	147	118	111	120
SLC25A5	3176	1362	1412	1850	3916	3513	2482	2295
MCUB	1105	704	284	454	528	399	714	621
HOXA11	0	0	1	0	0	0	0	0
POLR2J	890	431	347	414	723	636	721	699
DHX33	119	104	60	104	145	122	62	76
MEOX1	2	1	1	1	4	0	0	0
THSD7A	158	121	92	106	182	141	55	55
LIG3	136	103	96	110	123	106	70	68
RPAP3	461	381	250	440	256	262	350	278
ACSM3	2787	2356	1329	1907	659	556	1151	1215
REXO5	150	102	77	145	84	50	68	71
CIAPIN1	390	250	245	294	383	362	334	271
SPPL2B	95	122	89	122	143	70	41	51
FAM214B	66	56	72	75	66	48	36	36
COPZ2	14	17	13	13	24	6	6	8
PRKAR2B	5691	4312	2108	2883	7589	6823	3576	3121
MSL3	321	237	183	273	234	251	222	197
CREBBP	255	272	214	308	276	321	148	172
TSPOAP1	32	23	13	18	9	9	7	17
MPO	8	6	2	4	1	5	1	0
PON1	8	1	4	2	6	5	1	3
GCFC2	202	134	180	195	191	239	166	139
WDR54	346	230	165	239	273	240	470	412
CROT	261	198	123	147	358	339	140	126
ABCB4	8	8	29	18	26	14	7	12
KMT2E	1098	897	453	608	739	683	532	534
RHBDD2	1699	1171	877	1069	3699	3091	1515	1418
SOX8	1	0	0	0	0	4	0	3
IBTK	560	566	316	402	679	551	410	409
ZNF195	176	130	143	165	131	121	134	103
MYCBP2	199	172	200	239	371	328	164	184
FBXL3	760	500	342	541	736	650	530	434
ITGAL	16	4	5	15	1	7	2	8
PDK2	118	101	79	73	102	73	34	70
ITGA3	62	51	23	36	19	14	13	19
ZFX	430	286	203	276	471	376	209	161
LAMP2	2278	1573	1013	1448	1073	912	911	870
ITGA2B	16	9	8	2	0	3	9	1
ASB4	0	3	11	5	11	5	6	4
GDE1	674	449	250	402	504	464	346	356
REX1BD	138	55	66	82	150	118	90	99
CRLF1	53	51	27	36	32	25	33	34
OSBPL7	27	16	12	20	8	10	5	3
TMEM98	527	399	254	332	464	510	374	335
YBX2	1	4	2	3	1	0	2	1
KRT33A	3	1	0	2	0	0	0	1
MAP3K14	23	17	34	25	15	12	18	15
