	GSM5138279	GSM5138280	GSM5138281	GSM5138282	GSM5138283	GSM5138284	GSM5138285	GSM5138286	GSM5138287	GSM5138288
A1BG	5.64	2.95	5.52	5.85	4.53	4.5	3.15	4.39	1.04	4.43
NAT2	0	0	0.09	0.08	0.04	0.07	0	0.08	0	0.06
ADA	26.15	7.08	20.45	20.74	7.9	14.62	13.85	13.5	9.3	16.27
CDH2	424.24	344.68	362.97	450.61	274.21	403.53	288.48	257.29	338.23	323.42
AKT3	96.17	103.1	93.73	130.34	61.22	61.03	48.18	54.55	52.01	56.76
LOC100009676	5.23	5.62	4.81	3.88	6.65	5.95	3.8	3.21	4.09	3.98
MED6	17.27	16.54	15.08	17.15	16.54	19.69	19.04	18.11	20.77	21.58
NR2E3	1.32	2.08	1.25	0.65	0.68	1	1.28	0.49	0.4	0.77
NAALAD2	5.86	8.52	9.54	5.84	4.55	8.56	3.15	6.12	9.82	12.18
SNORD116-1	0	0.03	0	0	0	0.04	0	0	0	0
SNORD116-2	0	0.02	0.02	0	0	0.02	0	0	0.01	0
SNORD116-4	0	0.03	0.06	0.08	0	0	0	0.1	0.01	0.03
SNORD116-6	0	0.02	0.02	0	0	0	0	0	0.03	0
SNORD116-11	0	0	0	0	0.06	0	0	0.02	0	0
SNORD116-13	0.04	0	0	0	0	0	0	0	0	0
SNORD116-14	0.15	0	0	0	0	0	0	0	0	0
SNORD116-16	0	0.03	0.01	0	0	0.04	0	0	0	0
SNORD116-21	0	0	0	0	0	0	0	0.04	0	0
SNORD116-23	0	0.02	0.04	0	0	0.02	0	0.06	0	0.05
SNORD116-24	0	0.03	0.01	0.07	0.18	0	0	0	0	0.01
SNORD116-26	0	0	0	0.11	0	0	0.03	0.06	0	0.02
SNORD116-27	0	0	0.01	0.03	0	0	0	0	0	0.01
SNORD116-28	0	0	0	0	0	0	0	0	0	0.01
DDTL	3.03	3.3	1.86	2.38	2.14	1.74	2.65	2.74	2.01	2.22
TLX1NB	0	0	0.02	0	0	0	0	0	0	0.03
NAALADL1	1.2	0.46	1.09	0.98	1.72	1.11	1.23	0.99	0.83	0.67
CDKN2B-AS1	6	10.26	8.62	5.89	5.35	6.81	4.41	7.09	5.03	7.78
GUSBP9	0	0.74	0.4	0.46	0.2	0.21	0	0.12	0.23	0.32
SIGLEC14	0.6	0.68	5.32	0.03	1.36	0.52	0	0	0	1.6
ACOT8	9.4	6.36	11.78	9.58	11.53	7.76	11.12	7.19	5.67	11.03
ABI1	54.85	46.41	59.39	72.83	73.72	46.63	55.48	51.62	65.98	58.62
GNPDA1	55.45	37.52	61	50.66	75.13	67.51	90.42	91.33	91.96	77.18
MIMT1	0	0.25	0.05	0	0.08	0.21	0.11	0	0.06	0.17
KCNE3	0.98	0.97	3.16	0.66	0.76	0.27	5.05	0.76	0.6	1.81
ZBTB33	28.06	24.95	25.24	26.34	17.6	16.57	25.32	24.89	27.92	25.95
SNHG8	5.51	3.53	5.29	7.28	8.98	2.97	5.88	8.53	5.42	5.46
LOC100093631	5.75	9.57	7.09	8.83	3.03	8.13	6.47	3.34	6.7	3.72
CDH3	4.15	0.82	6.33	13.35	2.35	0.25	0.8	0.29	0.06	0.32
TANK	48.76	43.26	44.27	47.83	39.51	42.24	52.83	52.8	48.98	47.2
LOC100101266	1	0.52	0.56	0.77	0.16	0.61	0.29	0.08	0.2	0.49
