ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa00982	Drug metabolism - cytochrome P450	6/101	72/8579	0.000191232606676493	0.0369078930885631	0.0316037044717993		6
hsa04512	ECM-receptor interaction	6/101	89/8579	0.000605578481818673	0.0584383234955019	0.0500399061292272		6
hsa05321	Inflammatory bowel disease	5/101	65/8579	0.000966705827342741	0.0621914082257163	0.0532536192606352		5
hsa00980	Metabolism of xenobiotics by cytochrome P450	5/101	78/8579	0.00219065580238395	0.0912414559740499	0.0781287624102855		5
hsa00900	Terpenoid backbone biosynthesis	3/101	23/8579	0.00236376828948316	0.0912414559740499	0.0781287624102855		3
hsa04270	Vascular smooth muscle contraction	6/101	134/8579	0.00489582617747396	0.121190272202573	0.103773508239999		6
hsa05150	Staphylococcus aureus infection	5/101	96/8579	0.0053724245000844	0.121190272202573	0.103773508239999		5
hsa05310	Asthma	3/101	31/8579	0.00560483685238758	0.121190272202573	0.103773508239999		3
hsa00590	Arachidonic acid metabolism	4/101	61/8579	0.00565135984364328	0.121190272202573	0.103773508239999		4
hsa04974	Protein digestion and absorption	5/101	103/8579	0.00721458848248846	0.130264367291636	0.111543526941842		5
hsa04814	Motor proteins	7/101	193/8579	0.00758609668731891	0.130264367291636	0.111543526941842		7
hsa00512	Mucin type O-glycan biosynthesis	3/101	36/8579	0.00853343961726647	0.130264367291636	0.111543526941842		3
hsa04659	Th17 cell differentiation	5/101	108/8579	0.00877428380720862	0.130264367291636	0.111543526941842		5
hsa05330	Allograft rejection	3/101	38/8579	0.00991318801941817	0.136660377696265	0.117020339778094		3
hsa04726	Serotonergic synapse	5/101	115/8579	0.0113297511783809	0.141218920653967	0.120923755345911		5
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	4/101	77/8579	0.0127087873484916	0.141218920653967	0.120923755345911		4
hsa05332	Graft-versus-host disease	3/101	42/8579	0.0130420030016711	0.141218920653967	0.120923755345911		3
hsa04022	cGMP-PKG signaling pathway	6/101	167/8579	0.0137786176897506	0.141218920653967	0.120923755345911		6
hsa04940	Type I diabetes mellitus	3/101	43/8579	0.0139023807897688	0.141218920653967	0.120923755345911		3
hsa00514	Other types of O-glycan biosynthesis	3/101	47/8579	0.0176612589448465	0.169225473264253	0.144905368434621		3
hsa04610	Complement and coagulation cascades	4/101	86/8579	0.0184131343966286	0.169225473264253	0.144905368434621		4
hsa04672	Intestinal immune network for IgA production	3/101	49/8579	0.0197325749382886	0.173108498322259	0.14823034762255		3
hsa05322	Systemic lupus erythematosus	5/101	137/8579	0.022555817193591	0.189272726885351	0.162071546883011		5
hsa05320	Autoimmune thyroid disease	3/101	53/8579	0.0242612307180399	0.19510073035757	0.167061983453169		3
hsa00340	Histidine metabolism	2/101	22/8579	0.0272010647851985	0.2080182570767	0.178123078053133		2
hsa04925	Aldosterone synthesis and secretion	4/101	98/8579	0.0281722837927936	0.2080182570767	0.178123078053133		4
hsa04640	Hematopoietic cell lineage	4/101	99/8579	0.0291009996946679	0.2080182570767	0.178123078053133		4
hsa04978	Mineral absorption	3/101	60/8579	0.0334233865560082	0.222438400183089	0.190470841716635		3
hsa05416	Viral myocarditis	3/101	60/8579	0.0334233865560082	0.222438400183089	0.190470841716635		3
hsa04921	Oxytocin signaling pathway	5/101	154/8579	0.0349732829013272	0.224994786665205	0.192659839140644		5
hsa04514	Cell adhesion molecules	5/101	158/8579	0.0384065851023764	0.239111965314795	0.204748178644248		5
hsa00650	Butanoate metabolism	2/101	27/8579	0.0397961437690922	0.240020492107337	0.205526137228535		2
hsa00830	Retinol metabolism	3/101	68/8579	0.0457924623377399	0.258494489287348	0.221345158538935		3
hsa04924	Renin secretion	3/101	69/8579	0.0474776967136913	0.258494489287348	0.221345158538935		3
hsa05204	Chemical carcinogenesis - DNA adducts	3/101	69/8579	0.0474776967136913	0.258494489287348	0.221345158538935		3
hsa00591	Linoleic acid metabolism	2/101	30/8579	0.0482165886753603	0.258494489287348	0.221345158538935		2
