ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04061	Viral protein interaction with cytokine and cytokine receptor	62	0.785871251587885	2.78940736258711	1e-10	4.78571428571429e-09	3.18796992481203e-09	1068	tags=58%, list=7%, signal=54%	IL6/CXCL2/CXCL3/IL10/CXCL1/CCL20/CCR2/CCL24/PPBP/CCR7/ACKR3/IL2RB/PF4/CXCR1/CCR1/CXCL6/IL18/CXCR4/CCR4/CCL2/IL24/IL2RG/CXCL5/TNFSF14/CCR5/CXCR2/IL10RA/CXCR5/CCL5/CSF1R/TNFRSF1B/CCL22/IL2RA/CCL7/CXCL8/ACKR4
hsa04060	Cytokine-cytokine receptor interaction	180	0.638086712454084	2.68351169348996	1e-10	4.78571428571429e-09	3.18796992481203e-09	1591	tags=43%, list=10%, signal=40%	IL6/IL11/TNFRSF11B/CXCL2/CXCL3/IL10/IL1B/CXCL1/CCL20/CCR2/CCL24/PPBP/CCR7/GDF3/CD27/TNFSF8/ACKR3/CRLF2/IL2RB/PF4/OSM/CSF2RB/CXCR1/CCR1/CXCL6/LTB/IL18/CSF3/CXCR4/CCR4/CCL2/IL24/IL2RG/CXCL5/TNFSF14/CCR5/CSF2RA/IL1R2/CD4/CXCR2/IL10RA/CXCR5/ACVRL1/CCL5/IL1RL1/FASLG/LIF/CSF1R/IL12RB2/TNFRSF1B/IL1A/TGFBR2/CSF3R/IL16/CCL22/IL2RA/TNFRSF9/TGFB2/IL15RA/CCL7/IL1RN/TNFRSF6B/GDF6/CD40/EBI3/GDF15/INHBB/CXCL8/ACKR4/IL3RA/IL12RB1/IFNGR1/CCL3/FAS/TNFRSF8/PF4V1/CX3CR1/CXCL16
hsa04380	Osteoclast differentiation	113	0.679960868185177	2.66073621759924	1e-10	4.78571428571429e-09	3.18796992481203e-09	1964	tags=42%, list=12%, signal=37%	TNFRSF11B/SOCS3/IL1B/LCK/NCF1/FOS/JUNB/BLNK/NCF4/NCF2/LCP2/NFKBIA/SOCS1/PLCG2/SPI1/SIRPB1/BTK/SYK/TYROBP/CSF1R/FCGR2A/IL1A/TGFBR2/LILRA5/MAPK14/MAP2K6/FCGR3B/TGFB2/LILRA6/CTSK/FCGR3A/ACP5/FOSB/PIK3CD/LILRA2/IFNGR1/FCGR2C/LILRB2/FCGR1A/CAMK4/FOSL1/STAT1/LILRB1/OSCAR/MAP2K1/FCGR2B/LILRB3
hsa04062	Chemokine signaling pathway	153	0.639905766557845	2.62337235972111	1e-10	4.78571428571429e-09	3.18796992481203e-09	1806	tags=35%, list=11%, signal=32%	CXCL2/CXCL3/CXCL1/CCL20/CCR2/CCL24/PPBP/CCR7/PF4/NCF1/HCK/CXCR1/CCR1/CXCL6/VAV3/CXCR4/CCR4/CCL2/WAS/CXCL5/PIK3CG/CCR5/CXCR2/RAC2/GNG2/NFKBIA/GNGT2/FGR/CXCR5/PLCG2/CCL5/PTK2B/SHC4/ITK/DOCK2/PIK3R6/CCL22/PIK3R5/CCL7/LYN/PLCB2/CXCL8/PIK3CD/CCL3/TIAM1/STAT1/PF4V1/CX3CR1/CXCL16/GNG5/ELMO1/CXCR6/ARRB2/MAP2K1
hsa04668	TNF signaling pathway	106	0.649418373405485	2.51935335761051	1e-10	4.78571428571429e-09	3.18796992481203e-09	1816	tags=33%, list=11%, signal=30%	IL6/MMP9/CXCL2/CXCL3/SOCS3/IL1B/CXCL1/CCL20/TNFAIP3/CXCL6/FOS/MAP3K8/JUNB/CCL2/PTGS2/CXCL5/NFKBIA/CCL5/LIF/TNFRSF1B/MAPK14/BCL3/RIPK3/MAP2K6/XIAP/MLKL/ATF6B/PIK3CD/CASP8/FAS/ICAM1/NOD2/IRF1/MAP2K1/IL18R1
hsa04657	IL-17 signaling pathway	73	0.66180009461886	2.42274302101889	1e-10	4.78571428571429e-09	3.18796992481203e-09	1212	tags=30%, list=7%, signal=28%	IL6/LCN2/MMP9/CXCL2/CXCL3/IL1B/CXCL1/CCL20/TNFAIP3/CXCL6/FOS/CSF3/CCL2/PTGS2/CXCL5/S100A8/NFKBIA/MAPK14/CCL7/CXCL8/FOSB/CASP8
hsa04621	NOD-like receptor signaling pathway	150	0.561696743377571	2.29569133925206	1e-10	4.78571428571429e-09	3.18796992481203e-09	3305	tags=39%, list=20%, signal=31%	IL6/CXCL2/CXCL3/IL1B/CXCL1/NLRP12/NLRP6/TNFAIP3/CYBB/IL18/CCL2/NLRP3/CARD16/CASP1/GPSM3/NFKBIA/NAMPT/CCL5/CASP5/PSTPIP1/MAPK14/RIPK3/TLR4/XIAP/NLRP1/PYCARD/MEFV/PLCB2/CXCL8/CARD9/TRPM2/CASP8/GBP5/BCL2/STAT1/TXN/NOD2/MYD88/NLRC4/CASP4/BRCC3/VDAC2/JAK1/OAS2/BIRC3/HSP90AB1/TAB3/MAPK13/CARD6/GBP3/IRF7/CARD8/TRAF3/ANTXR2/ATG5/TXNIP/SUGT1/JUN
hsa04613	Neutrophil extracellular trap formation	95	0.606773662964351	2.32709359502145	2.14521607130865e-10	8.58511296753472e-09	5.71891264451645e-09	2073	tags=37%, list=13%, signal=32%	FPR2/NCF1/CYBB/AQP9/TLR2/FPR1/CLEC7A/NCF4/CASP1/ITGB2/RAC2/NCF2/FPR3/C5AR1/PLCG2/SYK/TLR8/FCGR2A/ITGAL/MAPK14/TLR4/ITGAM/FCGR3B/FCGR3A/SIGLEC9/PLCB2/CR1/PIK3CD/C3/FCGR1A/MAP2K1/CASP4/VDAC2/SLC25A5/ITGA2B
hsa05417	Lipid and atherosclerosis	179	0.507375325015598	2.13424879772801	2.3064482599347e-10	8.58511296753472e-09	5.71891264451645e-09	1522	tags=23%, list=9%, signal=21%	IL6/MMP9/CXCL2/CXCL3/IL1B/CXCL1/NCF1/LY96/CYBB/TLR2/CD14/VAV3/IL18/FOS/CCL2/NLRP3/NCF4/CASP1/NCF2/NFKBIA/OLR1/CCL5/ABCA1/FASLG/MAPK14/MAP2K6/TLR4/CYP1A1/SOD2/LYN/CD40/PYCARD/PLCB2/CXCL8/PIK3CD/CALM2/CASP8/CCL3/BCL2/FAS/ICAM1/HSPA1B
hsa05135	Yersinia infection	131	0.552112044966701	2.21926440780539	3.6317791716857e-10	1.21664602251471e-08	8.10460194102494e-09	1806	tags=24%, list=11%, signal=21%	IL6/IL10/IL1B/LCK/VAV3/IL18/FOS/CCL2/NLRP3/WAS/CD8B/CD4/CASP1/RAC2/LCP2/NFKBIA/PTK2B/FCGR2A/MAPK14/MAP2K6/TLR4/PYCARD/MEFV/CXCL8/PIK3CD/ITGA4/FYB1/MYD88/ELMO1/NLRC4/MAP2K1
