ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04061	Viral protein interaction with cytokine and cytokine receptor	20/165	100/8579	2.14729668375315e-15	4.55226896955668e-13	3.27745283309691e-13		20
hsa04060	Cytokine-cytokine receptor interaction	29/165	297/8579	2.78573178303565e-13	2.95287569001779e-11	2.125953202843e-11		29
hsa04062	Chemokine signaling pathway	23/165	192/8579	1.4788454761405e-12	1.04505080313928e-10	7.52395066808323e-11		23
hsa04668	TNF signaling pathway	17/165	114/8579	4.37624693092029e-11	2.31941087338776e-09	1.66988369732485e-09		17
hsa05323	Rheumatoid arthritis	15/165	93/8579	2.05199200269459e-10	8.48493506254065e-09	6.10881620689372e-09		15
hsa04657	IL-17 signaling pathway	15/165	94/8579	2.40139671581339e-10	8.48493506254065e-09	6.10881620689372e-09		15
hsa05134	Legionellosis	11/165	56/8579	6.72501779490097e-09	2.03671967502715e-07	1.46635726354984e-07		11
hsa04064	NF-kappa B signaling pathway	13/165	104/8579	8.24708792395282e-08	1.94264737764222e-06	1.39862894616744e-06		13
hsa04625	C-type lectin receptor signaling pathway	13/165	104/8579	8.24708792395282e-08	1.94264737764222e-06	1.39862894616744e-06		13
hsa05417	Lipid and atherosclerosis	18/165	215/8579	1.4163446724382e-07	3.00265070556898e-06	2.16178923687936e-06		18
hsa05133	Pertussis	11/165	76/8579	1.85598838135819e-07	3.57699578952669e-06	2.57529488322428e-06		11
hsa05140	Leishmaniasis	11/165	77/8579	2.1296901392445e-07	3.76245257933196e-06	2.70881640517941e-06		11
hsa04621	NOD-like receptor signaling pathway	15/165	186/8579	2.64375313783767e-06	4.22397993627511e-05	3.04109776941356e-05		15
hsa04640	Hematopoietic cell lineage	11/165	99/8579	2.78942071263451e-06	4.22397993627511e-05	3.04109776941356e-05		11
hsa05146	Amoebiasis	11/165	102/8579	3.75114258640031e-06	5.30161485544577e-05	3.81695210545996e-05		11
hsa05144	Malaria	8/165	50/8579	4.26656355566815e-06	5.6531967112603e-05	4.0700770761308e-05		8
hsa05135	Yersinia infection	12/165	137/8579	1.19323272339431e-05	0.000148803139623291	0.000107132349778437		12
hsa05167	Kaposi sarcoma-associated herpesvirus infection	14/165	194/8579	2.06709272283167e-05	0.000243457587355731	0.000175279792286896		14
hsa05321	Inflammatory bowel disease	8/165	65/8579	3.14015836696115e-05	0.000350375565155665	0.000252256489312668		8
hsa04380	Osteoclast differentiation	11/165	128/8579	3.33065974026961e-05	0.000353049932468579	0.000254181927546891		11
