geneNames	GSE138518_GSM4110156	GSE138518_GSM4110157	GSE138518_GSM4110158	GSE138518_GSM4110159	GSE138518_GSM4110160	GSE138518_GSM4110161	GSE155489_GSM4705199	GSE155489_GSM4705200	GSE155489_GSM4705201	GSE155489_GSM4705202	GSE155489_GSM4705203	GSE155489_GSM4705204	GSE155489_GSM4705205	GSE155489_GSM4705206	GSE193123_GSM5773736	GSE193123_GSM5773737	GSE193123_GSM5773738	GSE193123_GSM5773739	GSE193123_GSM5773740	GSE193123_GSM5773741
TSPAN6	249	962	1034	953	826	621	1837	1192	834	1032	1276	1022	1417	1150	1148	1062	923	1135	1047	111
DPM1	142	642	651	982	583	352	1279	704	515	842	798	767	1269	1023	645	718	773	970	871	734
SCYL3	64	231	308	305	223	182	130	91	60	78	91	108	38	50	192	200	223	191	211	298
C1orf112	62	92	71	60	99	120	103	78	52	78	75	86	71	33	53	60	78	56	96	109
FGR	14	20	47	175	530	48	15	16	8	3	3	4	4	7	1610	1128	688	2278	736	5049
CFH	299	2830	3909	3385	5873	2701	3010	2074	986	1308	1192	1017	625	550	1915	5258	1469	655	471	174
FUCA2	341	1308	1131	1792	1152	452	286	164	162	232	430	387	141	146	1203	1360	1474	1122	1313	1240
GCLC	585	4621	2039	1398	2249	1434	1101	733	366	520	575	438	563	507	1870	2710	2496	2645	2032	630
NFYA	243	851	854	788	607	499	99	82	83	98	156	119	88	76	517	643	675	527	745	745
STPG1	114	78	186	274	123	55	84	55	26	30	61	43	21	22	69	80	83	42	61	40
NIPAL3	285	449	532	377	237	185	70	66	47	48	79	56	43	46	379	505	432	238	340	433
LAS1L	635	1227	1482	2190	1450	518	116	100	59	104	174	162	85	96	739	794	840	850	1026	699
ENPP4	0	100	84	73	84	72	185	154	52	92	157	108	121	100	334	320	403	289	310	296
SEMA3F	98	437	31	10	8	9	16	5	4	4	0	0	3	10	57	303	267	125	167	45
CFTR	0	2	0	0	0	0	13	5	34	21	29	7	3	3	1	0	1	0	11	0
ANKIB1	494	2166	1685	1599	1294	1393	639	454	332	388	523	459	368	401	1163	1051	1152	844	1245	758
CYP51A1	3462	33288	13007	9964	11445	7690	10771	8008	5796	7654	6415	6087	6808	6231	245	215	392	213	307	17
KRIT1	107	368	265	248	229	313	282	238	181	211	352	291	173	141	165	140	234	164	160	215
RAD52	84	252	127	193	182	84	64	50	38	52	76	71	35	49	180	188	137	142	148	226
MYH16	0	5	1	0	0	0	39	20	14	7	8	3	17	18	7	7	4	6	2	2
BAD	1509	2003	2525	1630	2380	1040	405	302	245	361	324	293	241	232	303	466	382	535	410	323
LAP3	308	1117	1038	1414	1280	680	416	376	160	219	408	357	314	301	2120	1470	1452	1201	1660	3175
CD99	20546	59361	81761	84336	50263	25090	195	130	159	226	235	224	175	158	7494	7541	6020	7858	5255	4039
HS3ST1	686	3975	4273	3288	1435	2408	604	475	216	306	4495	3846	775	707	121	112	129	182	115	321
AOC1	0	5	0	0	5	0	3	3	2	2	2	4	1	2	92	75	24	32	28	6
WNT16	0	13	30	9	8	2	7	7	0	11	11	4	3	3	5	3	8	5	4	8
HECW1	1	11	10	0	0	7	11	6	23	23	9	10	11	7	0	0	5	3	5	0
MAD1L1	647	870	775	798	896	433	42	34	26	41	32	40	40	24	27	29	21	22	23	124
LASP1	1964	4324	2341	5014	4157	2188	205	138	169	222	123	107	66	57	4360	4711	5016	4832	5902	7338
SNX11	322	659	767	629	477	319	143	146	86	105	123	115	92	118	525	560	558	595	527	954
TMEM176A	266	1253	626	381	622	363	273	163	96	149	164	137	98	78	563	318	173	227	139	4528
M6PR	93	1001	884	768	801	779	416	381	335	382	661	658	566	498	2340	2788	1788	2005	2071	4972
KLHL13	31	83	117	100	117	109	79	37	65	60	52	54	22	34	139	211	200	71	139	12
CYP26B1	16	257	298	114	75	76	5	6	13	10	5	4	10	13	43	15	14	34	42	2
ICA1	104	69	263	142	117	58	87	32	55	38	35	27	29	23	72	74	67	101	93	30
DBNDD1	203	76	134	57	112	62	12	25	5	12	4	3	3	9	52	49	24	56	57	18
ALS2	187	601	511	949	658	454	264	254	171	222	195	181	111	133	572	681	626	367	735	398
CASP10	59	212	126	300	268	139	29	25	59	46	61	41	23	12	314	479	317	229	173	503
CFLAR	1462	7413	3966	7539	4325	2164	1423	1264	698	1002	1757	1652	984	873	6242	3874	3929	6091	4327	7242
TFPI	190	4006	2209	4988	2811	1208	5064	3462	1419	1979	3799	3642	1844	1863	2138	2739	2245	2407	1685	375
NDUFAF7	149	272	239	257	378	166	221	179	171	194	198	177	159	154	342	392	350	339	368	365
RBM5	858	2799	2566	2707	2588	1270	651	593	443	610	819	766	384	395	2104	2028	1789	2040	1711	2725
MTMR7	0	31	25	30	55	43	34	21	34	29	26	20	14	16	61	110	62	50	51	54
SLC7A2	131	509	223	196	203	232	225	217	73	120	77	66	121	182	3954	5410	4115	1097	1488	206
ARF5	3536	3108	7270	5253	5773	2256	3055	1831	1423	1647	1586	1344	1875	1865	906	1402	991	1443	1079	1618
SARM1	1575	4611	2279	2080	1946	1300	106	112	80	89	101	69	37	57	208	314	385	293	363	253
POLDIP2	2980	6039	7396	8068	4896	2969	427	253	271	321	418	379	249	276	2561	3201	3270	2875	3441	1554
PLXND1	3568	9144	6580	2868	4661	3501	116	63	63	98	106	70	65	69	6727	7005	7022	3207	4820	6097
AK2	1910	6080	4862	4706	4602	1996	1377	803	507	736	1313	1294	1708	1543	2102	2471	3303	3114	3459	1807
CD38	0	12	7	14	47	17	15	6	18	10	16	9	1	7	233	34	79	53	50	304
FKBP4	2239	4405	5668	7015	4500	3108	272	201	213	270	259	228	155	122	1795	2108	2489	2691	3631	2016
KDM1A	933	2209	2700	2030	2613	1694	280	244	157	211	268	208	137	125	1118	1422	1222	1207	1432	1056
RBM6	3526	3359	4304	2541	2331	1092	901	789	608	887	1093	904	601	564	3204	2222	1812	2172	2039	2786
CAMKK1	236	771	382	700	288	78	34	16	15	19	16	16	15	24	393	199	298	371	280	1013
RECQL	174	786	621	638	673	664	654	511	291	420	472	389	568	471	603	577	671	522	791	551
VPS50	100	288	241	268	225	222	194	186	131	165	213	179	147	119	348	365	494	335	453	449
HSPB6	262	271	139	280	193	82	17	23	15	20	21	24	7	8	50	277	135	13	22	8
ARHGAP33	281	706	254	222	261	224	38	27	19	36	8	11	5	16	156	328	325	111	121	103
NDUFAB1	593	1120	1460	1888	1585	836	1816	1057	929	1194	1927	1554	1314	1130	974	1000	936	1165	1273	781
PDK4	25	501	85	165	141	87	253	229	77	107	567	414	21	42	472	604	396	479	183	999
SLC22A16	0	0	0	2	16	2	6	7	22	16	2	7	0	0	23	3	2	6	2	234
ZMYND10	21	27	21	11	0	0	23	3	2	2	2	2	1	3	27	13	29	27	9	60
ARX	13	0	0	10	8	0	5	0	0	0	1	1	0	0	2	10	3	6	8	1
SLC25A13	332	1081	1306	1779	1309	708	339	285	190	295	711	574	268	212	843	868	947	770	863	962
ST7	158	648	601	1786	841	217	356	324	143	228	375	332	266	220	290	419	356	286	479	195
CDC27	190	809	728	626	624	649	564	442	304	395	394	372	384	342	1237	1091	1277	1016	1533	890
SLC4A1	0	0	0	119	531	0	36	11	7	10	4	1	4	5	1	5	0	0	0	2
HCCS	106	419	465	589	567	251	179	144	110	113	226	182	121	112	358	450	540	527	646	425
DVL2	494	1330	1298	876	636	582	63	67	42	34	44	51	16	23	968	1027	816	773	749	1227
PRSS22	0	0	3	0	0	0	3	1	1	1	1	4	2	1	0	0	0	11	2	6
UPF1	1063	4487	3266	2489	2040	1687	138	151	109	185	166	150	68	72	2126	2375	2749	2092	2530	3496
